Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
LaMelo Ball,CHA,LAC,CHA @ LAC,PTS,20.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,PRA,35.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,REB,5.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,AST,8.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,FG3M,2.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,RA,12.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,Q1_PTS,5.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,Q1_REB,1.5,2025-11-22
LaMelo Ball,CHA,LAC,CHA @ LAC,Q1_AST,2.5,2025-11-22
Brandon Miller,CHA,LAC,CHA @ LAC,PTS,15.5,2025-11-22
Brandon Miller,CHA,LAC,CHA @ LAC,PRA,22.5,2025-11-22
Brandon Miller,CHA,LAC,CHA @ LAC,REB,3.5,2025-11-22
Brandon Miller,CHA,LAC,CHA @ LAC,AST,2.5,2025-11-22
Brandon Miller,CHA,LAC,CHA @ LAC,FG3M,2.5,2025-11-22
Brandon Miller,CHA,LAC,CHA @ LAC,Q1_PTS,3.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,PTS,19.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,PRA,29.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,REB,6.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,AST,3.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,FG3M,2.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,RA,10.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,Q1_PTS,5.5,2025-11-22
Miles Bridges,CHA,LAC,CHA @ LAC,Q1_REB,1.5,2025-11-22
Brook Lopez,LAC,CHA,LAC @ CHA,PTS,5.5,2025-11-22
Brook Lopez,LAC,CHA,LAC @ CHA,REB,2.5,2025-11-22
Brook Lopez,LAC,CHA,LAC @ CHA,FG3M,0.5,2025-11-22
Collin Sexton,CHA,LAC,CHA @ LAC,PTS,11.5,2025-11-22
Collin Sexton,CHA,LAC,CHA @ LAC,PRA,17.5,2025-11-22
Collin Sexton,CHA,LAC,CHA @ LAC,REB,2.5,2025-11-22
Collin Sexton,CHA,LAC,CHA @ LAC,AST,3.5,2025-11-22
Collin Sexton,CHA,LAC,CHA @ LAC,FG3M,1.5,2025-11-22
Nicolas Batum,LAC,CHA,LAC @ CHA,PTS,5.5,2025-11-22
Nicolas Batum,LAC,CHA,LAC @ CHA,PRA,9.5,2025-11-22
Nicolas Batum,LAC,CHA,LAC @ CHA,REB,3.5,2025-11-22
Nicolas Batum,LAC,CHA,LAC @ CHA,FG3M,1.5,2025-11-22
Kris Dunn,LAC,CHA,LAC @ CHA,PTS,7.5,2025-11-22
Kris Dunn,LAC,CHA,LAC @ CHA,PRA,13.5,2025-11-22
Kris Dunn,LAC,CHA,LAC @ CHA,REB,2.5,2025-11-22
Kris Dunn,LAC,CHA,LAC @ CHA,AST,2.5,2025-11-22
Kris Dunn,LAC,CHA,LAC @ CHA,FG3M,0.5,2025-11-22
Moussa Diabate,CHA,LAC,CHA @ LAC,PTS,7.5,2025-11-22
Moussa Diabate,CHA,LAC,CHA @ LAC,PRA,15.5,2025-11-22
Moussa Diabate,CHA,LAC,CHA @ LAC,REB,7.5,2025-11-22
Moussa Diabate,CHA,LAC,CHA @ LAC,RA,8.5,2025-11-22
Moussa Diabate,CHA,LAC,CHA @ LAC,Q1_REB,1.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,PTS,28.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,PRA,42.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,REB,6.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,AST,7.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,FG3M,3.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,RA,13.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,Q1_PTS,8.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,Q1_REB,1.5,2025-11-22
James Harden,LAC,CHA,LAC @ CHA,Q1_AST,2.5,2025-11-22
