Player Name,Team,Opponent,Matchup,Prop Category,Prop Line,GAME_DATE
Paul George,PHI,MIA,PHI @ MIA,PTS,15.5,2025-11-23
Paul George,PHI,MIA,PHI @ MIA,PRA,23.5,2025-11-23
Paul George,PHI,MIA,PHI @ MIA,REB,4.5,2025-11-23
Paul George,PHI,MIA,PHI @ MIA,AST,3.5,2025-11-23
Paul George,PHI,MIA,PHI @ MIA,FG3M,2.5,2025-11-23
Paul George,PHI,MIA,PHI @ MIA,RA,7.5,2025-11-23
Paul George,PHI,MIA,PHI @ MIA,Q1_PTS,3.5,2025-11-23
Paul George,PHI,MIA,PHI @ MIA,Q1_REB,1.5,2025-11-23
Tyrese Maxey,PHI,MIA,PHI @ MIA,PTS,31.5,2025-11-23
Tyrese Maxey,PHI,MIA,PHI @ MIA,PRA,43.5,2025-11-23
Tyrese Maxey,PHI,MIA,PHI @ MIA,REB,3.5,2025-11-23
Tyrese Maxey,PHI,MIA,PHI @ MIA,AST,7.5,2025-11-23
Tyrese Maxey,PHI,MIA,PHI @ MIA,FG3M,3.5,2025-11-23
Tyrese Maxey,PHI,MIA,PHI @ MIA,RA,11.5,2025-11-23
Tyrese Maxey,PHI,MIA,PHI @ MIA,Q1_PTS,7.5,2025-11-23
Jaime Jaquez Jr.,MIA,PHI,MIA @ PHI,PTS,17.5,2025-11-23
Jaime Jaquez Jr.,MIA,PHI,MIA @ PHI,PRA,28.5,2025-11-23
Jaime Jaquez Jr.,MIA,PHI,MIA @ PHI,REB,6.5,2025-11-23
Jaime Jaquez Jr.,MIA,PHI,MIA @ PHI,AST,5.5,2025-11-23
Jaime Jaquez Jr.,MIA,PHI,MIA @ PHI,FG3M,0.5,2025-11-23
Jaime Jaquez Jr.,MIA,PHI,MIA @ PHI,RA,11.5,2025-11-23
Andre Drummond,PHI,MIA,PHI @ MIA,PTS,10.5,2025-11-23
Andre Drummond,PHI,MIA,PHI @ MIA,PRA,24.5,2025-11-23
Andre Drummond,PHI,MIA,PHI @ MIA,REB,12.5,2025-11-23
Andre Drummond,PHI,MIA,PHI @ MIA,FG3M,0.5,2025-11-23
Andre Drummond,PHI,MIA,PHI @ MIA,RA,13.5,2025-11-23
