Player,Team,Opponent,Prop,Line,Proj,Prob,Pick,Tier,Diff%
Vit Krejci,ATL,WAS,PTS,9.5,12.9,91.8%,Over,S Tier,35.8
Kris Dunn,LAC,LAL,PTS,6.5,8.37,91.8%,Over,S Tier,28.8
Bub Carrington,WAS,ATL,PTS,7.5,10.23,90.8%,Over,S Tier,36.4
Luke Kennard,ATL,WAS,PTS,6.5,8.52,90.6%,Over,S Tier,31.1
Marcus Smart,LAL,LAC,PTS,6.5,8.57,90.2%,Over,S Tier,31.8
Kobe Sanders,LAC,LAL,PTS,7.5,9.99,89.9%,Over,S Tier,33.2
Gabe Vincent,LAL,LAC,PTS,4.5,6.11,89.5%,Over,S Tier,35.8
Dyson Daniels,ATL,WAS,PTS,11.5,14.68,89.1%,Over,S Tier,27.7
Bogdan Bogdanovic,LAC,LAL,PTS,8.5,11.47,88.1%,Over,S Tier,34.9
Zaccharie Risacher,ATL,WAS,PTS,10.5,13.54,87.7%,Over,S Tier,29.0
Jaxson Hayes,LAL,LAC,PTS,7.5,9.27,87.1%,Over,S Tier,23.6
Nicolas Batum,LAC,LAL,PTS,5.5,7.27,86.7%,Over,S Tier,32.2
Jake LaRavia,LAL,LAC,PTS,7.5,10.15,86.5%,Over,S Tier,35.3
Jalen Suggs,ORL,PHI,PTS,15.5,17.13,86.3%,Over,S Tier,10.5
Anthony Black,ORL,PHI,PTS,11.5,14.51,86.1%,Over,S Tier,26.2
Jared McCain,PHI,ORL,PTS,13.5,15.24,83.9%,Over,S Tier,12.9
Brook Lopez,LAC,LAL,PTS,5.5,7.18,83.9%,Over,S Tier,30.5
Onyeka Okongwu,ATL,WAS,PTS,14.5,16.65,83.5%,Over,S Tier,14.8
Justin Champagnie,WAS,ATL,PTS,6.5,8.61,82.7%,Over,S Tier,32.5
John Collins,LAC,LAL,PTS,11.5,14.79,82.6%,Over,S Tier,28.6
Tristan Vukcevic,WAS,ATL,PTS,8.5,11.09,82.3%,Over,S Tier,30.5
Justin Edwards,PHI,ORL,PTS,10.5,13.14,82.3%,Over,S Tier,25.1
Rui Hachimura,LAL,LAC,PTS,10.5,13.8,81.5%,Over,S Tier,31.4
Anthony Black,ORL,PHI,PRA,19.5,21.53,81.3%,Over,S Tier,10.4
John Collins,LAC,LAL,PRA,17.5,20.4,80.3%,Over,S Tier,16.6
Tristan da Silva,ORL,PHI,PRA,17.5,20.0,78.9%,Over,S Tier,14.3
Justin Edwards,PHI,ORL,PRA,15.5,17.06,78.5%,Over,S Tier,10.1
Trendon Watford,PHI,ORL,PTS,10.5,13.16,78.5%,Over,S Tier,25.3
Nicolas Batum,LAC,LAL,PRA,9.5,11.12,78.0%,Over,S Tier,17.1
Goga Bitadze,ORL,PHI,PRA,11.5,13.2,77.8%,Over,S Tier,14.8
Andre Drummond,PHI,ORL,PTS,11.5,14.13,77.6%,Over,S Tier,22.9
Trendon Watford,PHI,ORL,PRA,18.5,20.32,77.5%,Over,S Tier,9.8
Khris Middleton,WAS,ATL,PTS,10.5,13.73,76.6%,Over,S Tier,30.8
