Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1.0,Tyrese Maxey,25.0,PHI,PG,17.0,17.0,679.0,23.9,0.613,0.422,0.337,0.8,11.5,6.1,32.1,1.9,1.8,9.3,30.3,2.2,0.6,2.7,0.194,6.3,0.4,6.7,1.5
2.0,Franz Wagner,24.0,ORL,SF,19.0,19.0,656.0,19.8,0.597,0.278,0.47,5.4,15.3,10.4,17.8,1.4,0.9,8.8,25.5,1.6,0.8,2.4,0.174,2.9,0.0,2.8,0.8
3.0,Devin Booker,29.0,PHO,SG,18.0,18.0,640.0,19.3,0.592,0.301,0.416,3.2,9.9,6.5,31.4,1.3,1.0,15.6,30.9,1.3,0.5,1.8,0.134,2.5,-1.4,1.1,0.5
4.0,Trey Murphy III,25.0,NOP,SF,18.0,18.0,636.0,17.8,0.616,0.549,0.265,4.0,16.7,9.9,13.6,2.4,0.7,11.4,21.7,1.1,0.3,1.4,0.103,2.5,-1.0,1.5,0.6
5.0,Dyson Daniels,22.0,ATL,SG,19.0,19.0,626.0,13.1,0.514,0.15,0.145,7.3,14.0,10.7,22.9,3.1,1.2,18.9,15.4,0.2,0.9,1.1,0.085,-2.3,1.7,-0.6,0.2
6.0,Desmond Bane,27.0,ORL,SG,19.0,19.0,615.0,13.8,0.548,0.344,0.256,4.1,10.9,7.5,21.3,1.2,0.7,12.5,23.4,0.5,0.6,1.1,0.088,-0.7,-0.7,-1.4,0.1
7.0,Evan Mobley,24.0,CLE,PF,18.0,18.0,615.0,17.5,0.572,0.307,0.463,7.6,20.3,13.8,16.9,1.5,4.3,14.0,22.9,0.5,1.0,1.5,0.114,0.7,1.1,1.8,0.6
8.0,Toumani Camara,25.0,POR,PF,18.0,18.0,611.0,9.6,0.523,0.604,0.122,6.7,10.4,8.4,11.2,1.6,1.5,15.5,15.8,0.1,0.3,0.4,0.031,-1.8,-1.0,-2.8,-0.1
9.0,Deni Avdija,25.0,POR,SF,18.0,18.0,605.0,19.6,0.612,0.406,0.472,3.7,17.9,10.4,25.4,0.8,1.9,14.7,28.0,1.3,0.4,1.7,0.134,4.1,-0.8,3.3,0.8
10.0,James Harden,36.0,LAC,PG,17.0,17.0,605.0,24.9,0.639,0.562,0.48,2.2,16.3,9.3,40.2,1.5,1.1,14.9,31.7,2.0,0.2,2.2,0.177,7.2,-0.9,6.3,1.2
11.0,Lauri Markkanen,28.0,UTA,PF,17.0,17.0,605.0,21.8,0.612,0.435,0.323,6.9,12.0,9.4,11.0,1.3,1.3,5.5,28.1,1.8,0.2,1.9,0.151,5.9,-2.0,3.8,0.9
12.0,Cooper Flagg,19.0,DAL,PG,18.0,18.0,604.0,13.0,0.527,0.28,0.236,4.0,15.6,9.9,15.2,1.9,1.6,12.6,21.4,-0.3,1.0,0.7,0.056,-2.6,0.9,-1.7,0.0
13.0,Brandon Ingram,28.0,TOR,SF,18.0,18.0,602.0,16.7,0.585,0.281,0.315,2.1,17.1,9.9,17.0,1.5,2.0,13.5,27.1,0.3,0.8,1.1,0.09,0.3,-0.3,0.0,0.3
14.0,Shai Gilgeous-Alexander,27.0,OKC,PG,18.0,18.0,595.0,33.4,0.671,0.27,0.465,2.0,13.8,8.2,35.3,2.2,2.6,6.9,33.7,3.4,1.4,4.8,0.387,10.1,3.6,13.6,2.3
15.0,Miles Bridges,27.0,CHO,PF,17.0,17.0,594.0,17.4,0.56,0.49,0.275,3.5,17.8,10.7,17.0,1.0,1.5,7.0,25.1,1.1,0.3,1.4,0.11,2.2,-1.5,0.8,0.4
16.0,Scottie Barnes,24.0,TOR,PF,18.0,18.0,593.0,20.6,0.589,0.223,0.208,7.1,19.3,13.3,22.4,2.2,5.0,11.5,23.7,1.0,1.1,2.1,0.168,2.3,2.2,4.6,1.0
17.0,Nikola Jokić,30.0,DEN,C,17.0,17.0,592.0,36.7,0.729,0.282,0.395,11.3,28.5,20.5,51.6,2.2,2.0,14.6,29.0,4.0,1.1,5.1,0.412,12.8,5.5,18.2,3.0
18.0,Keyonte George,22.0,UTA,PG,17.0,17.0,589.0,17.8,0.59,0.408,0.419,1.8,11.2,6.4,33.0,1.4,0.7,14.3,27.0,1.1,0.1,1.2,0.098,2.3,-1.6,0.7,0.4
19.0,DeMar DeRozan,36.0,SAC,PF,18.0,18.0,588.0,17.2,0.601,0.151,0.403,1.9,9.1,5.4,16.8,1.8,0.5,6.7,21.7,1.1,0.1,1.3,0.104,0.6,-0.7,-0.1,0.3
20.0,Donovan Mitchell,29.0,CLE,SG,17.0,17.0,578.0,24.3,0.643,0.506,0.327,2.6,12.9,7.6,28.3,2.0,0.9,12.2,32.2,1.6,0.7,2.3,0.19,6.6,0.5,7.1,1.3
21.0,Jalen Johnson,24.0,ATL,SF,17.0,17.0,576.0,22.2,0.63,0.224,0.319,3.7,27.1,15.5,31.6,2.3,1.1,15.5,25.3,1.1,1.0,2.1,0.174,3.1,1.8,4.8,1.0
22.0,Ivica Zubac,28.0,LAC,C,18.0,18.0,572.0,20.9,0.629,0.0,0.206,13.9,28.0,21.1,13.2,0.8,2.9,12.5,20.9,1.2,0.4,1.6,0.136,1.8,-1.4,0.4,0.4
23.0,Immanuel Quickley,26.0,TOR,PG,18.0,18.0,571.0,16.3,0.589,0.535,0.207,1.6,15.0,8.5,25.7,2.0,0.2,10.9,19.7,0.9,0.8,1.7,0.143,1.4,0.6,2.1,0.6
