Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Luka Dončić,26.0,LAL,PG,13.0,13.0,37.2,10.8,23.1,0.47,3.7,11.1,0.333,7.2,12.0,0.596,0.55,9.8,12.4,0.789,0.8,7.9,8.8,9.2,1.9,0.5,4.2,2.7,35.2
2.0,Shai Gilgeous-Alexander,27.0,OKC,PG,18.0,18.0,33.1,10.8,19.9,0.543,2.2,5.4,0.412,8.6,14.6,0.592,0.599,8.3,9.3,0.898,0.6,4.3,4.9,6.6,1.5,0.8,1.8,1.8,32.2
3.0,Tyrese Maxey,25.0,PHI,PG,17.0,17.0,39.9,10.8,22.9,0.47,3.9,9.6,0.409,6.8,13.2,0.516,0.557,6.8,7.7,0.878,0.3,4.1,4.4,7.5,1.6,0.8,2.7,2.4,32.2
4.0,Giannis Antetokounmpo,31.0,MIL,PF,13.0,13.0,31.8,12.0,19.1,0.629,0.7,1.4,0.5,11.3,17.7,0.639,0.647,6.5,10.2,0.636,3.7,7.2,10.8,6.8,0.9,1.2,3.5,2.6,31.2
5.0,Donovan Mitchell,29.0,CLE,SG,17.0,17.0,34.0,10.2,20.4,0.503,3.9,10.3,0.383,6.3,10.1,0.626,0.6,5.5,6.6,0.832,0.8,3.9,4.8,5.5,1.4,0.4,3.2,2.2,29.9
6.0,Nikola Jokić,30.0,DEN,C,17.0,17.0,34.8,10.8,17.3,0.626,2.1,4.9,0.434,8.7,12.4,0.701,0.687,5.8,6.8,0.853,3.3,9.5,12.8,11.1,1.6,0.8,3.5,3.0,29.6
7.0,Stephen Curry,37.0,GSW,PG,15.0,15.0,30.9,9.5,19.8,0.478,4.9,12.2,0.399,4.6,7.6,0.605,0.601,5.0,5.5,0.915,0.3,3.3,3.5,3.9,1.4,0.5,2.9,2.1,28.8
8.0,Lauri Markkanen,28.0,UTA,PF,17.0,17.0,35.6,9.6,20.4,0.473,3.4,8.9,0.377,6.3,11.5,0.546,0.555,5.9,6.6,0.893,2.3,3.8,6.1,2.2,1.0,0.5,1.4,1.8,28.5
9.0,Jalen Brunson,29.0,NYK,PG,14.0,14.0,34.1,10.0,20.9,0.479,2.9,7.8,0.367,7.1,13.1,0.546,0.548,5.4,6.3,0.864,0.4,3.0,3.4,6.5,0.8,0.1,2.4,2.6,28.3
10.0,Jaylen Brown,29.0,BOS,SF,17.0,17.0,32.4,10.5,20.8,0.506,1.9,5.6,0.344,8.6,15.2,0.566,0.552,4.9,6.4,0.769,0.9,4.6,5.6,4.3,0.9,0.3,3.4,3.2,27.9
