PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,14,7,7,0.5,96.44,11,28,0.393,10,25,0.4,3,5,0.6,0,8,8,7,5,0,0,0,7,6,35,9,50.1,0,0,60.0,132,149,324,253,122,182,160,351,28,32,138,241,220,295,374,186,260,167,125,369,265,1,267,175,163,139,241,137,16,208,1
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,8,0,8,0.0,37.63333333333333,2,11,0.182,0,2,0.0,3,4,0.75,2,3,5,4,1,0,0,4,3,3,7,-13,18.0,0,0,16.0,311,448,369,448,331,387,327,452,351,364,351,241,246,208,205,346,333,252,327,369,265,434,114,268,386,369,392,137,16,397,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,10,7,3,0.7,70.4,11,28,0.393,3,10,0.3,5,5,1.0,2,9,11,4,7,3,0,1,11,5,30,24,51.2,2,0,54.0,252,149,126,102,212,182,160,351,185,186,234,172,220,1,205,163,186,252,74,108,265,202,396,205,192,50,237,54,16,224,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,10,9,1,0.9,59.99333333333333,12,18,0.667,7,12,0.583,8,9,0.889,0,4,4,7,3,2,1,0,6,6,39,16,60.3,0,0,63.0,252,67,37,50,246,156,231,34,66,155,36,116,128,117,374,309,353,167,201,178,144,1,230,175,144,92,213,137,16,196,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,9,1,8,0.111,66.6,11,28,0.393,5,17,0.294,5,8,0.625,6,3,9,3,2,1,0,1,6,11,32,25,48.3,0,0,51.0,288,385,369,433,221,182,160,351,119,93,244,172,147,287,69,346,232,287,260,267,265,202,230,81,181,48,244,137,16,233,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,9,8,1,0.889,62.56666666666667,8,23,0.348,2,12,0.167,0,0,0.0,3,4,7,5,2,0,1,0,7,1,18,24,34.9,0,0,34.0,288,106,37,52,235,241,202,392,222,155,324,372,386,372,158,309,289,215,260,369,144,1,267,361,286,50,319,137,16,310,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,13,3,10,0.231,89.095,16,35,0.457,3,14,0.214,4,4,1.0,5,9,14,8,3,7,0,1,11,4,39,-13,85.8,0,0,78.0,165,287,411,381,155,109,110,247,185,127,297,205,246,1,93,163,142,147,201,19,265,202,396,232,144,369,131,137,16,144,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,7,3,4,0.429,36.791666666666664,1,3,0.333,0,0,0.0,4,5,0.8,5,2,7,0,1,1,6,0,3,5,6,24,34.4,0,0,27.0,335,287,182,298,336,433,429,397,351,417,351,205,220,179,93,383,289,423,327,267,11,1,114,205,399,50,322,137,16,342,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,3,3,0,1.0,7.633333333333334,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,3,1,6,-6,6.0,0,0,6.0,414,287,1,1,449,387,442,1,351,417,351,275,301,1,374,440,447,423,403,369,265,1,114,361,399,305,448,137,16,450,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,18,17,1,0.944,158.03166666666667,34,76,0.447,5,17,0.294,24,25,0.96,4,18,22,23,12,11,3,3,9,23,97,6,187.9,1,0,175.0,1,1,37,37,5,8,5,265,119,93,244,18,36,93,121,53,67,17,18,4,45,388,333,18,11,167,10,86,16,11,1
201143,Al Horford,Al,1610612744,GSW,39.0,11,7,4,0.636,57.34166666666667,6,12,0.5,4,10,0.4,0,0,0.0,2,7,9,7,6,1,1,0,4,1,16,-14,37.3,0,0,40.0,226,149,182,160,256,284,314,156,153,186,138,372,386,372,205,219,232,167,94,267,144,1,162,361,297,380,305,137,16,274,1
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,8,8,0,1.0,53.675,5,11,0.455,4,10,0.4,1,2,0.5,1,4,5,6,0,2,1,0,3,3,15,53,39.0,0,0,36.0,311,106,1,1,275,316,327,251,153,186,138,323,301,316,284,309,333,190,403,178,144,1,114,268,309,6,294,137,16,296,1
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,15,2,13,0.133,89.92333333333333,19,38,0.5,4,9,0.444,11,17,0.647,5,19,24,7,5,1,8,4,7,15,53,-48,114.3,6,0,106.0,88,336,455,420,152,78,92,156,153,208,106,75,57,283,93,45,52,167,125,267,4,434,267,50,84,470,67,21,16,74,1
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,15,11,4,0.733,127.115,35,56,0.625,5,9,0.556,24,28,0.857,8,24,32,23,13,3,5,7,16,25,99,53,182.9,9,0,175.0,88,26,182,84,44,7,34,60,119,208,40,18,27,134,43,15,21,17,12,108,17,475,460,10,10,6,13,6,16,11,1
1642873,Amari Williams,Amari,1610612738,BOS,23.0,2,0,2,0.0,6.871666666666667,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,1,1,0,2,9,8.9,0,0,7.0,437,448,91,448,453,433,442,156,351,417,351,372,386,372,284,410,409,370,403,267,265,202,36,415,450,139,438,137,16,447,1
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,15,11,4,0.733,130.73333333333332,31,54,0.574,3,8,0.375,10,11,0.909,9,17,26,21,4,6,1,3,10,10,75,66,154.7,2,0,139.0,88,26,182,84,34,23,40,87,185,223,167,87,112,107,34,62,40,25,163,29,144,388,364,93,40,4,23,54,16,32,1
1629599,Amir Coffey,Amir,1610612749,MIL,28.0,10,4,6,0.4,35.375,3,5,0.6,2,3,0.667,3,3,1.0,1,3,4,2,0,0,0,0,0,1,11,-2,18.8,0,0,19.0,252,251,283,306,341,366,396,68,222,327,16,241,281,1,284,346,353,327,403,369,265,1,1,361,347,246,385,137,16,376,1
203083,Andre Drummond,Andre,1610612755,PHI,32.0,11,6,5,0.545,94.03166666666667,11,24,0.458,1,2,0.5,4,7,0.571,16,19,35,2,1,4,2,0,9,5,27,25,89.0,7,0,77.0,226,183,234,236,136,182,196,245,286,364,52,205,168,308,5,45,14,327,327,64,89,1,333,205,209,48,122,15,16,149,1
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,24.0,7,1,6,0.143,29.5,1,7,0.143,0,4,0.0,0,0,0.0,3,2,5,7,3,2,1,0,4,2,2,-8,24.5,0,0,20.0,335,385,283,415,364,433,373,456,351,296,351,372,386,372,158,383,333,167,201,178,144,1,162,313,450,327,357,137,16,371,1
1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,9,1,8,0.111,55.9,9,21,0.429,2,6,0.333,6,7,0.857,1,2,3,13,4,2,0,0,4,6,26,-32,51.1,0,0,48.0,288,385,369,433,263,221,215,286,222,262,197,146,168,134,284,383,378,74,163,178,265,1,162,175,219,447,238,137,16,244,1
203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,14,8,6,0.571,111.4,20,40,0.5,10,18,0.556,5,6,0.833,3,16,19,10,7,7,1,0,10,6,55,-8,109.8,0,0,110.0,132,106,283,216,75,69,78,156,28,82,40,172,192,155,158,68,92,108,74,19,144,1,364,175,80,327,71,137,16,69,1
1629014,Anfernee Simons,Anfernee,1610612738,BOS,26.0,17,9,8,0.529,105.94666666666667,25,46,0.543,12,24,0.5,10,11,0.909,1,8,9,10,4,3,1,3,12,8,72,35,105.8,0,0,111.0,19,67,369,252,91,41,58,115,17,36,52,87,112,107,284,186,232,108,163,108,144,388,410,132,48,18,81,137,16,68,1
1641710,Anthony Black,Anthony,1610612753,ORL,21.0,16,9,7,0.563,107.35166666666667,19,37,0.514,3,10,0.3,2,7,0.286,1,7,8,11,5,13,2,2,10,7,43,-30,109.1,0,0,95.0,43,67,324,223,87,78,98,150,185,186,234,275,168,367,284,219,260,92,125,2,89,315,364,156,120,439,73,137,16,89,1
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,4,1,3,0.25,36.44,7,14,0.5,0,3,0.0,7,13,0.538,2,4,6,6,3,1,1,0,2,9,21,0,40.2,4,0,37.0,400,385,126,366,337,261,285,156,351,327,351,133,88,315,205,309,318,190,201,267,144,1,77,109,260,231,286,30,16,292,1
1630162,Anthony Edwards,Anthony,1610612750,MIN,24.0,10,5,5,0.5,57.781666666666666,15,30,0.5,4,11,0.364,15,21,0.714,2,5,7,9,9,1,1,0,7,12,49,-12,67.9,0,0,73.0,252,213,234,253,253,125,142,156,153,166,178,51,45,239,205,275,289,127,42,267,144,1,267,68,99,364,186,137,16,164,1
1630264,Anthony Gill,Anthony,1610612764,WAS,33.0,6,0,6,0.0,17.966666666666665,4,5,0.8,1,1,1.0,4,4,1.0,2,3,5,0,2,0,0,1,2,3,13,-7,17.0,0,0,19.0,361,448,283,448,409,335,396,17,286,386,1,205,246,1,205,346,333,423,260,369,265,202,77,268,331,317,398,137,16,376,1
1641810,Antonio Reeves,Antonio,1610612766,CHA,25.0,1,0,1,0.0,4.733333333333333,2,4,0.5,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,5,6.0,0,0,8.0,457,448,37,448,463,387,416,156,222,327,16,372,386,372,374,440,447,423,403,369,265,1,1,415,399,175,448,137,16,440,1
1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,8,5,3,0.625,27.833333333333332,3,4,0.75,0,0,0.0,1,4,0.25,5,6,11,1,3,0,1,1,4,3,7,-15,21.7,0,0,21.0,311,213,126,169,370,366,416,21,351,417,351,323,246,369,93,243,186,370,201,369,144,202,162,268,386,386,370,137,16,363,1
1642854,Asa Newell,Asa,1610612737,ATL,20.0,9,7,2,0.778,43.18333333333333,6,13,0.462,4,11,0.364,3,4,0.75,4,6,10,2,1,1,2,0,6,3,19,8,42.0,1,0,41.0,288,149,91,74,313,284,300,234,153,166,178,241,246,208,121,243,211,327,327,267,89,1,230,268,276,153,279,86,16,271,1
1641709,Ausar Thompson,Ausar,1610612765,DET,22.0,12,11,1,0.917,96.28833333333333,16,28,0.571,0,1,0.0,5,9,0.556,6,11,17,14,4,5,6,1,7,9,37,8,107.4,2,0,90.0,193,26,37,45,123,109,160,88,351,386,351,172,128,313,69,134,107,61,163,43,11,202,267,109,154,153,76,54,16,105,1
1630559,Austin Reaves,Austin,1610612747,LAL,27.0,14,11,3,0.786,126.94,34,64,0.531,14,34,0.412,37,41,0.902,2,18,20,18,8,9,1,3,7,29,119,43,192.0,5,0,191.0,132,26,126,70,46,8,21,128,6,7,135,2,2,113,205,53,83,39,57,9,144,388,267,2,5,13,7,24,16,6,1
1630245,Ayo Dosunmu,Ayo,1610612741,CHI,25.0,15,8,7,0.533,112.875,26,47,0.553,11,20,0.55,10,13,0.769,2,10,12,11,2,1,3,1,4,9,73,-32,113.9,0,0,115.0,88,106,324,243,69,37,54,105,25,66,47,87,88,203,205,143,169,92,260,267,45,202,162,109,46,447,68,137,16,65,1
1628389,Bam Adebayo,Bam,1610612748,MIA,28.0,10,7,3,0.7,79.44333333333333,18,39,0.462,3,14,0.214,12,13,0.923,4,18,22,9,6,4,1,2,6,12,51,27,99.9,5,0,95.0,252,149,126,102,183,88,84,234,185,127,297,67,88,103,121,53,67,127,94,64,144,315,230,68,90,37,93,24,16,89,1
1631248,Baylor Scheierman,Baylor,1610612738,BOS,25.0,9,6,3,0.667,38.88,5,5,1.0,3,3,1.0,1,1,1.0,1,8,9,2,0,1,1,0,3,4,14,34,33.8,0,0,32.0,288,183,126,117,326,316,396,1,185,327,1,323,367,1,284,186,232,327,403,267,144,1,114,232,314,20,326,137,16,321,1
1642879,Ben Saraf,Ben,1610612751,BKN,19.0,3,0,3,0.0,12.95,2,5,0.4,1,2,0.5,2,2,1.0,2,0,2,1,2,0,0,0,0,1,7,7,8.9,0,0,11.0,414,448,126,448,428,387,396,325,286,364,52,275,301,1,205,440,409,370,260,369,265,1,1,361,386,161,438,137,16,423,1
1641767,Ben Sheppard,Ben,1610612754,IND,24.0,17,2,15,0.118,103.35166666666667,7,27,0.259,3,17,0.176,5,6,0.833,5,18,23,8,2,1,1,3,10,5,22,-22,65.6,0,0,60.0,19,336,472,429,101,261,170,439,185,93,322,172,192,155,93,53,59,147,260,267,144,388,364,205,249,413,195,137,16,208,1
1631097,Bennedict Mathurin,Bennedict,1610612754,IND,23.0,5,1,4,0.2,45.43333333333333,8,21,0.381,5,13,0.385,10,15,0.667,3,8,11,1,4,1,0,2,4,7,31,3,44.7,2,0,50.0,382,385,182,389,303,241,215,363,119,142,159,87,65,257,158,186,186,370,163,267,265,315,162,156,188,198,258,54,16,236,1
1641731,Bilal Coulibaly,Bilal,1610612764,WAS,21.0,8,1,7,0.125,46.35333333333333,4,13,0.308,0,3,0.0,1,1,1.0,0,5,5,3,2,1,0,1,5,2,9,-17,20.5,0,0,19.0,311,385,324,423,300,335,300,420,351,327,351,323,367,1,374,275,333,287,260,267,265,202,206,313,365,396,377,137,16,376,1
202687,Bismack Biyombo,Bismack,1610612759,SAS,33.0,2,2,0,1.0,7.1,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,2,3,0,0,2,0,2,3,11.4,0,0,10.0,437,336,1,1,451,433,458,1,351,417,351,372,386,372,374,383,409,423,260,108,265,1,77,415,450,198,426,137,16,430,1
1631104,Blake Wesley,Blake,1610612757,POR,22.0,5,3,2,0.6,16.7,2,5,0.4,0,1,0.0,0,0,0.0,0,0,0,2,2,2,0,1,3,0,4,-13,11.0,0,0,10.0,382,287,91,186,415,387,396,325,351,386,351,372,386,372,374,440,447,327,260,178,265,202,114,415,427,369,428,137,16,430,1
1626171,Bobby Portis,Bobby,1610612749,MIL,30.0,17,8,9,0.471,112.28333333333333,17,37,0.459,7,14,0.5,0,0,0.0,2,18,20,6,4,3,0,2,4,5,41,5,79.0,0,0,80.0,19,106,393,289,71,99,98,243,66,127,52,372,386,372,205,53,83,190,163,108,265,315,162,205,130,175,150,137,16,136,1
1641752,Bobi Klintman,Bobi,1610612765,DET,22.0,3,2,1,0.667,13.1,2,5,0.4,0,1,0.0,0,3,0.0,2,3,5,0,0,2,0,1,1,2,4,-4,16.0,0,0,13.0,414,336,37,117,427,387,396,325,351,386,351,372,281,372,205,346,333,423,403,178,265,202,36,313,427,273,404,137,16,412,1
