Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
1.0,Tyrese Maxey,25.0,PHI,PG,17.0,17.0,679.0,0.47,15.5,0.578,0.201,0.211,0.093,0.075,0.422,0.516,0.667,0.427,0.5,0.379,0.409,0.388,0.701,0.018,6.0,0.079,0.462,0.0,0.0
2.0,Franz Wagner,24.0,ORL,SF,19.0,19.0,656.0,0.477,11.1,0.722,0.278,0.341,0.066,0.036,0.278,0.523,0.726,0.408,0.35,0.364,0.357,0.526,0.833,0.023,7.0,0.143,0.5,0.0,0.0
3.0,Devin Booker,29.0,PHO,SG,18.0,18.0,640.0,0.469,15.2,0.699,0.124,0.189,0.233,0.153,0.301,0.527,0.738,0.469,0.506,0.462,0.333,0.32,0.676,0.015,4.0,0.078,0.25,0.0,0.0
4.0,Trey Murphy III,25.0,NOP,SF,18.0,18.0,636.0,0.462,17.2,0.451,0.197,0.17,0.068,0.015,0.549,0.571,0.788,0.378,0.444,0.5,0.372,0.676,0.833,0.091,22.0,0.062,0.444,0.0,0.0
5.0,Dyson Daniels,22.0,ATL,SG,19.0,19.0,626.0,0.486,7.8,0.85,0.347,0.439,0.064,0.0,0.15,0.537,0.683,0.421,0.545,,0.192,0.544,1.0,0.058,10.0,0.192,0.2,0.0,0.0
6.0,Desmond Bane,27.0,ORL,SG,19.0,19.0,615.0,0.433,13.6,0.656,0.226,0.244,0.085,0.1,0.344,0.486,0.672,0.394,0.522,0.259,0.333,0.558,0.677,0.004,1.0,0.226,0.333,0.0,0.0
7.0,Evan Mobley,24.0,CLE,PF,18.0,18.0,615.0,0.496,11.7,0.693,0.328,0.234,0.09,0.041,0.307,0.556,0.788,0.386,0.364,0.1,0.36,0.67,0.815,0.156,35.0,0.067,0.4,1.0,0.0
8.0,Toumani Camara,25.0,POR,PF,18.0,18.0,611.0,0.411,16.6,0.396,0.213,0.162,0.015,0.005,0.604,0.551,0.786,0.313,0.0,0.0,0.319,0.674,0.868,0.056,10.0,0.269,0.313,0.0,0.0
9.0,Deni Avdija,25.0,POR,SF,18.0,18.0,605.0,0.469,13.4,0.594,0.29,0.211,0.059,0.033,0.406,0.533,0.648,0.453,0.444,0.2,0.374,0.375,0.913,0.03,9.0,0.089,0.455,0.0,0.0
10.0,James Harden,36.0,LAC,PG,17.0,17.0,605.0,0.451,17.7,0.438,0.15,0.203,0.059,0.026,0.562,0.545,0.717,0.403,0.611,0.5,0.378,0.11,0.385,0.0,0.0,0.047,0.375,0.0,0.0
11.0,Lauri Markkanen,28.0,UTA,PF,17.0,17.0,605.0,0.473,14.9,0.565,0.176,0.256,0.084,0.049,0.435,0.546,0.721,0.517,0.483,0.176,0.377,0.785,0.93,0.084,28.0,0.179,0.519,0.0,0.0
12.0,Cooper Flagg,19.0,DAL,PG,18.0,18.0,604.0,0.451,12.3,0.72,0.228,0.293,0.093,0.106,0.28,0.525,0.786,0.444,0.391,0.308,0.261,0.312,0.778,0.085,16.0,0.188,0.077,0.0,0.0
13.0,Brandon Ingram,28.0,TOR,SF,18.0,18.0,602.0,0.486,14.7,0.719,0.14,0.137,0.264,0.178,0.281,0.552,0.78,0.45,0.519,0.5,0.317,0.474,0.885,0.031,7.0,0.28,0.348,0.0,0.0
14.0,Shai Gilgeous-Alexander,27.0,OKC,PG,18.0,18.0,595.0,0.543,13.5,0.73,0.189,0.184,0.267,0.089,0.27,0.592,0.75,0.53,0.573,0.438,0.412,0.168,0.225,0.011,4.0,0.041,0.5,0.0,0.0
15.0,Miles Bridges,27.0,CHO,PF,17.0,17.0,594.0,0.419,15.4,0.51,0.164,0.272,0.054,0.02,0.49,0.493,0.694,0.407,0.375,0.333,0.342,0.52,0.9,0.044,10.0,0.267,0.385,0.0,0.0
16.0,Scottie Barnes,24.0,TOR,PF,18.0,18.0,593.0,0.513,10.9,0.777,0.305,0.242,0.171,0.059,0.223,0.545,0.744,0.369,0.435,0.563,0.4,0.561,0.875,0.086,23.0,0.267,0.313,0.0,0.0
17.0,Nikola Jokić,30.0,DEN,C,17.0,17.0,592.0,0.626,11.6,0.718,0.252,0.347,0.075,0.044,0.282,0.701,0.811,0.637,0.591,0.769,0.434,0.574,0.861,0.034,9.0,0.036,0.667,0.0,0.0
18.0,Keyonte George,22.0,UTA,PG,17.0,17.0,589.0,0.444,15.7,0.592,0.056,0.313,0.13,0.092,0.408,0.53,0.75,0.539,0.514,0.385,0.319,0.461,0.703,0.021,6.0,0.147,0.294,0.0,0.0
19.0,DeMar DeRozan,36.0,SAC,PF,18.0,18.0,588.0,0.5,13.6,0.849,0.109,0.21,0.294,0.235,0.151,0.525,0.731,0.64,0.457,0.411,0.361,0.5,1.0,0.008,1.0,0.5,0.5,0.0,0.0
20.0,Donovan Mitchell,29.0,CLE,SG,17.0,17.0,578.0,0.503,17.4,0.494,0.15,0.165,0.087,0.092,0.506,0.626,0.692,0.596,0.633,0.563,0.383,0.206,0.567,0.012,3.0,0.097,0.471,0.0,0.0
21.0,Jalen Johnson,24.0,ATL,SF,17.0,17.0,576.0,0.547,10.2,0.776,0.339,0.28,0.106,0.051,0.224,0.594,0.791,0.437,0.481,0.385,0.386,0.564,0.818,0.114,28.0,0.088,0.4,0.0,0.0
22.0,Ivica Zubac,28.0,LAC,C,18.0,18.0,572.0,0.61,4.3,1.0,0.45,0.459,0.092,0.0,0.0,0.61,0.694,0.53,0.6,,,0.632,,0.17,32.0,,,0.0,0.0
23.0,Immanuel Quickley,26.0,TOR,PG,18.0,18.0,571.0,0.461,17.6,0.465,0.134,0.194,0.092,0.046,0.535,0.554,0.793,0.405,0.55,0.5,0.379,0.357,0.795,0.009,2.0,0.095,0.091,0.0,0.0
24.0,Kon Knueppel,20.0,CHO,SF,17.0,16.0,571.0,0.491,18.2,0.385,0.167,0.137,0.056,0.026,0.615,0.578,0.667,0.531,0.462,0.5,0.438,0.673,0.921,0.017,4.0,0.25,0.472,0.0,0.0
25.0,Ryan Rollins,23.0,MIL,PG,18.0,17.0,569.0,0.492,14.0,0.609,0.309,0.117,0.113,0.07,0.391,0.538,0.722,0.3,0.414,0.333,0.42,0.179,0.667,0.031,8.0,0.17,0.647,0.0,0.0
26.0,Julius Randle,31.0,MIN,PF,17.0,17.0,569.0,0.515,12.1,0.691,0.268,0.25,0.132,0.04,0.309,0.585,0.74,0.485,0.5,0.455,0.357,0.373,0.8,0.044,11.0,0.226,0.263,0.0,0.0
27.0,Max Christie,22.0,DAL,SG,19.0,16.0,568.0,0.491,16.9,0.379,0.16,0.183,0.036,0.0,0.621,0.516,0.778,0.355,0.167,,0.476,0.667,1.0,0.053,9.0,0.457,0.542,0.0,0.0
28.0,P.J. Washington,27.0,DAL,PF,18.0,18.0,567.0,0.436,12.8,0.637,0.197,0.35,0.056,0.034,0.363,0.497,0.63,0.451,0.385,0.375,0.329,0.554,0.929,0.077,16.0,0.4,0.412,0.0,0.0
29.0,Mikal Bridges,29.0,NYK,SF,16.0,16.0,563.0,0.513,15.3,0.528,0.238,0.119,0.14,0.031,0.472,0.598,0.717,0.609,0.37,0.667,0.418,0.557,0.974,0.041,7.0,0.407,0.486,0.0,0.0
30.0,Derrick White,31.0,BOS,SG,17.0,17.0,562.0,0.353,18.6,0.443,0.071,0.188,0.106,0.078,0.557,0.416,0.611,0.354,0.37,0.45,0.303,0.532,0.674,0.008,2.0,0.162,0.348,0.0,0.0
31.0,Jamal Murray,28.0,DEN,PG,16.0,16.0,562.0,0.477,15.9,0.597,0.141,0.201,0.12,0.134,0.403,0.538,0.65,0.474,0.559,0.5,0.386,0.297,0.5,0.007,2.0,0.061,0.143,1.0,1.0
32.0,Pascal Siakam,31.0,IND,PF,16.0,16.0,562.0,0.471,13.5,0.71,0.167,0.246,0.208,0.089,0.29,0.519,0.592,0.625,0.393,0.385,0.353,0.407,0.733,0.007,1.0,0.082,0.429,0.0,0.0
33.0,VJ Edgecombe,20.0,PHI,SG,15.0,15.0,560.0,0.407,13.7,0.62,0.236,0.231,0.088,0.065,0.38,0.433,0.549,0.38,0.316,0.357,0.366,0.517,0.967,0.088,15.0,0.134,0.273,0.0,0.0
34.0,Jaylen Brown,29.0,BOS,SF,17.0,17.0,551.0,0.506,14.2,0.729,0.161,0.232,0.138,0.198,0.271,0.566,0.825,0.451,0.408,0.6,0.344,0.363,0.606,0.02,3.0,0.115,0.455,0.0,0.0
35.0,Payton Pritchard,28.0,BOS,PG,17.0,17.0,551.0,0.446,19.8,0.42,0.074,0.126,0.152,0.069,0.58,0.608,0.706,0.69,0.571,0.438,0.328,0.169,0.841,0.0,0.0,0.06,0.375,0.0,0.0
36.0,Alperen Şengün,23.0,HOU,C,15.0,15.0,551.0,0.49,10.5,0.826,0.271,0.32,0.17,0.065,0.174,0.5,0.657,0.468,0.357,0.375,0.442,0.343,0.895,0.065,15.0,0.093,0.75,0.0,0.0
37.0,Rudy Gobert,33.0,MIN,C,17.0,17.0,550.0,0.733,2.3,1.0,0.714,0.286,0.0,0.0,0.0,0.733,0.8,0.567,,,,0.662,,0.419,41.0,,,0.0,0.0
