PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,7,3,4,0.429,197.1,25,49,0.51,23,43,0.535,6,8,0.75,0,16,16,14,5,3,0,1,24,11,79,-11,123.2,0,0,138.0,183,142,243,228,134,170,197,119,23,66,28,225,228,216,400,201,262,168,244,251,318,117,418,180,146,279,214,98,9,174,1
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,4,0,4,0.0,15.916666666666666,0,2,0.0,0,0,0.0,1,2,0.5,1,2,3,2,0,0,0,1,0,2,1,5,7.6,0,0,6.0,334,403,243,403,413,441,432,441,364,412,364,353,335,332,336,394,393,356,410,396,318,117,1,350,441,153,427,98,9,432,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,7,5,2,0.714,203.13166666666666,44,81,0.543,18,32,0.563,26,30,0.867,9,31,40,10,12,4,3,4,14,24,132,94,204.0,1,0,214.0,183,63,105,85,127,83,102,89,48,127,26,58,64,98,119,83,93,224,116,214,119,320,269,70,69,6,105,53,9,96,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,4,4,0,1.0,56.09166666666667,13,25,0.52,9,15,0.6,7,7,1.0,0,3,3,5,4,3,0,0,4,7,42,15,58.1,0,0,65.0,334,84,1,1,338,269,285,107,156,229,15,215,248,1,400,372,393,293,265,251,318,1,111,240,252,103,309,98,9,292,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,6,0,6,0.0,181.565,28,77,0.364,18,43,0.419,16,21,0.762,8,12,20,12,2,6,3,5,13,20,90,-20,157.0,0,0,158.0,243,403,369,403,156,147,109,357,48,66,98,107,104,212,136,257,228,194,322,138,119,357,242,93,128,328,159,98,9,149,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,5,4,1,0.8,143.00666666666666,31,66,0.47,16,33,0.485,4,5,0.8,5,16,21,9,3,3,1,3,16,3,82,60,129.7,0,0,136.0,290,84,35,56,211,132,137,187,65,123,56,268,289,168,193,201,222,234,287,251,226,270,300,321,143,21,203,98,9,179,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,8,1,7,0.125,169.37166666666667,28,67,0.418,6,24,0.25,9,10,0.9,14,12,26,12,13,5,1,2,15,7,71,-76,125.2,0,0,127.0,110,282,409,373,173,147,134,279,202,167,295,171,200,69,53,257,179,194,105,165,226,210,283,240,169,449,211,98,9,197,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,6,3,3,0.5,96.54,5,12,0.417,0,1,0.0,2,5,0.4,11,13,24,1,6,3,8,2,12,5,12,-23,69.3,0,0,59.0,243,142,176,156,269,348,356,280,364,387,364,315,289,371,97,244,195,383,227,251,34,210,229,272,362,338,293,98,9,303,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,1,1,0,1.0,4.683333333333334,1,1,1.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,0,1,4,2,5.2,0,0,5.0,436,282,1,1,449,414,443,1,364,412,364,315,335,1,336,437,427,425,410,396,318,1,1,381,413,178,438,98,9,439,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,10,9,1,0.9,289.64166666666665,60,134,0.448,9,28,0.321,33,35,0.943,9,39,48,41,17,19,3,7,23,35,162,79,330.1,1,0,304.0,18,1,35,35,34,40,31,231,156,148,233,40,54,58,119,53,65,34,69,5,119,410,407,32,44,11,32,53,9,39,1
201143,Al Horford,Al,1610612744,GSW,39.0,8,4,4,0.5,175.65166666666667,12,47,0.255,8,34,0.235,4,4,1.0,5,29,34,16,10,8,7,3,14,5,36,-51,135.8,0,0,124.0,110,84,243,156,167,279,207,417,171,115,312,268,306,1,193,97,123,150,142,94,41,270,269,272,270,412,188,98,9,205,1
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,5,5,0,1.0,86.74333333333334,9,20,0.45,5,15,0.333,4,6,0.667,1,6,7,13,3,5,0,0,2,9,27,62,66.9,0,0,62.0,290,63,1,1,292,304,309,224,218,229,197,268,265,274,336,328,346,186,287,165,318,1,51,203,301,17,295,98,9,299,1
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,8,1,7,0.125,232.95833333333334,59,116,0.509,11,26,0.423,15,23,0.652,21,60,81,29,18,4,13,12,16,21,144,-74,317.7,4,0,299.0,110,282,409,373,91,44,48,120,121,158,93,115,88,295,24,11,11,73,55,214,9,459,300,87,56,446,40,12,9,44,1
