Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Miami,65.1,64.3,52.0,62.7,67.4,65.1
2,Philadelphia,61.8,60.7,60.0,60.2,64.1,61.8
3,Orlando,61.8,69.0,86.0,59.7,64.1,61.8
4,Denver,61.6,57.7,62.0,64.4,59.1,61.6
5,New York,61.3,56.3,51.0,64.7,56.9,61.3
6,Okla City,60.9,64.0,67.0,62.6,59.5,60.9
7,Chicago,60.7,58.0,58.0,61.4,60.1,60.7
8,Minnesota,60.6,58.0,54.0,64.1,57.6,60.6
9,Detroit,60.5,69.0,71.0,59.9,61.1,60.5
10,LA Lakers,60.4,66.0,69.0,63.7,58.0,60.4
11,Portland,60.2,58.7,65.0,58.9,61.0,60.2
12,Charlotte,60.0,55.3,55.0,61.6,58.6,60.0
13,Houston,59.9,55.0,59.0,61.4,58.6,59.9
14,San Antonio,59.5,59.7,56.0,60.5,57.8,59.5
15,Atlanta,58.9,54.7,55.0,58.0,59.5,58.9
16,Toronto,58.7,59.7,57.0,59.9,57.8,58.7
17,Boston,58.6,65.0,80.0,61.4,55.4,58.6
18,Utah,58.1,59.3,55.0,65.7,49.5,58.1
19,Washington,57.9,64.7,77.0,61.9,55.2,57.9
20,Cleveland,57.7,58.3,54.0,55.6,60.6,57.7
21,Phoenix,57.7,53.7,50.0,57.5,58.1,57.7
22,Sacramento,57.4,51.3,46.0,53.3,60.8,57.4
23,LA Clippers,57.3,60.0,66.0,61.0,54.3,57.3
24,Golden State,56.4,61.3,67.0,61.0,53.7,56.4
25,Brooklyn,56.3,56.0,48.0,54.0,58.3,56.3
26,Milwaukee,56.2,54.0,53.0,57.5,54.0,56.2
27,New Orleans,55.9,61.0,74.0,56.7,54.9,55.9
28,Memphis,55.8,57.3,54.0,59.6,51.0,55.8
29,Indiana,53.8,60.0,55.0,56.1,51.7,53.8
30,Dallas,52.1,46.7,44.0,52.2,52.0,52.1
