Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Toronto,61.7,63.3,53.0,60.3,62.8,61.7
2,Denver,61.6,62.3,63.0,61.0,62.1,61.6
3,Cleveland,60.5,54.7,45.0,60.6,60.4,60.5
4,Houston,60.0,57.3,55.0,59.1,60.8,60.0
5,Chicago,59.4,61.3,72.0,58.9,59.9,59.4
6,New York,59.1,59.3,62.0,60.0,57.9,59.1
7,Okla City,59.0,62.3,55.0,57.0,60.6,59.0
8,Milwaukee,58.9,54.3,50.0,60.4,56.6,58.9
9,Phoenix,58.8,52.0,42.0,59.7,57.3,58.8
10,Golden State,58.6,56.3,67.0,58.7,58.5,58.6
11,Detroit,58.5,54.7,51.0,59.5,57.7,58.5
12,Minnesota,58.4,53.3,47.0,55.4,61.0,58.4
13,Portland,58.3,53.7,50.0,59.6,57.5,58.3
14,Miami,58.2,61.0,54.0,59.1,57.2,58.2
15,Atlanta,58.2,59.0,58.0,54.7,60.2,58.2
16,LA Lakers,57.9,61.7,66.0,60.3,56.3,57.9
17,San Antonio,57.9,56.3,46.0,58.5,57.0,57.9
18,Utah,57.8,52.3,62.0,58.7,56.9,57.8
19,Orlando,57.3,66.3,58.0,56.6,58.0,57.3
20,Memphis,56.5,60.7,61.0,57.1,55.8,56.5
21,Boston,56.1,53.7,58.0,58.1,53.8,56.1
22,Charlotte,55.9,59.3,55.0,51.9,59.4,55.9
23,Dallas,55.7,58.7,58.0,57.3,52.2,55.7
24,Indiana,55.4,57.7,62.0,57.4,53.7,55.4
25,Washington,55.2,56.0,55.0,51.1,58.0,55.2
26,New Orleans,54.2,57.7,69.0,54.1,54.3,54.2
27,Sacramento,53.9,57.0,55.0,55.9,52.4,53.9
28,LA Clippers,53.8,58.0,52.0,53.5,54.1,53.8
29,Philadelphia,53.8,48.0,43.0,54.9,52.3,53.8
30,Brooklyn,52.9,51.3,52.0,54.1,51.9,52.9
