Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,New York,32.9,30.7,27.0,34.0,31.6,32.9
2,Miami,31.7,33.3,32.0,31.8,31.6,31.7
3,Portland,31.4,30.3,33.0,30.9,31.7,31.4
4,Detroit,30.9,35.7,36.0,31.1,30.7,30.9
5,Philadelphia,30.8,29.0,25.0,30.5,31.3,30.8
6,Chicago,30.8,24.0,28.0,29.1,32.2,30.8
7,Orlando,30.6,38.0,51.0,28.4,33.1,30.6
8,San Antonio,30.4,32.7,26.0,31.4,28.7,30.4
9,Okla City,29.9,32.0,28.0,31.6,28.6,29.9
10,Denver,29.9,28.7,35.0,30.8,29.1,29.9
10,LA Lakers,29.9,34.0,32.0,33.0,27.7,29.9
12,Minnesota,29.5,29.7,27.0,30.5,28.7,29.5
13,Atlanta,29.4,30.7,32.0,27.6,30.4,29.4
14,Phoenix,29.3,27.0,27.0,29.7,28.6,29.3
15,Golden State,28.7,36.7,41.0,31.6,27.1,28.7
16,Sacramento,28.6,26.3,23.0,24.4,32.0,28.6
17,Brooklyn,28.6,30.7,22.0,25.4,31.4,28.6
18,New Orleans,28.6,29.0,37.0,28.7,28.4,28.6
19,Houston,28.5,30.0,29.0,30.7,26.6,28.5
20,Memphis,28.3,31.0,31.0,32.2,23.5,28.3
21,Boston,28.3,35.3,48.0,31.0,25.3,28.3
22,Toronto,27.9,28.3,28.0,30.4,26.0,27.9
23,Charlotte,27.9,26.0,30.0,27.4,28.3,27.9
24,Indiana,27.4,26.3,23.0,28.5,26.4,27.4
25,Washington,27.2,29.3,32.0,29.3,25.8,27.2
26,Cleveland,27.2,27.7,22.0,26.7,27.9,27.2
27,LA Clippers,27.2,26.7,28.0,29.8,25.1,27.2
28,Milwaukee,26.7,29.7,26.0,27.9,24.7,26.7
29,Utah,26.5,23.0,20.0,28.7,24.1,26.5
30,Dallas,25.2,24.7,25.0,24.8,25.8,25.2
