Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Denver,32.6,30.7,31.0,32.6,32.6,32.6
2,Toronto,32.3,33.7,31.0,31.5,32.9,32.3
3,Okla City,32.1,32.3,29.0,30.0,33.7,32.1
4,New York,31.8,33.3,38.0,32.6,30.9,31.8
5,Cleveland,31.7,31.0,22.0,31.5,31.9,31.7
6,Chicago,31.2,28.7,35.0,31.4,31.1,31.2
7,Minnesota,30.7,28.0,28.0,28.4,32.8,30.7
8,Phoenix,30.6,27.0,25.0,31.6,28.9,30.6
9,Washington,30.5,30.7,34.0,29.7,31.1,30.5
10,Memphis,30.4,34.0,31.0,30.5,30.4,30.4
11,Golden State,30.1,31.0,39.0,30.9,29.7,30.1
12,LA Lakers,29.6,29.3,29.0,30.0,29.4,29.6
13,Milwaukee,29.5,26.0,21.0,30.5,27.9,29.5
14,Atlanta,29.1,31.3,23.0,29.7,28.8,29.1
15,Detroit,28.8,30.7,30.0,27.9,29.7,28.8
16,Houston,28.8,23.7,25.0,29.0,28.6,28.8
17,Miami,28.8,29.3,28.0,28.4,29.1,28.8
18,Utah,28.8,25.0,29.0,29.9,27.5,28.8
19,Dallas,28.6,30.0,28.0,29.6,26.5,28.6
20,Portland,28.4,27.0,30.0,26.9,29.5,28.4
21,San Antonio,28.3,27.3,24.0,28.2,28.5,28.3
22,Charlotte,28.2,29.3,33.0,24.3,31.8,28.2
23,Orlando,28.2,33.7,35.0,27.3,29.1,28.2
24,LA Clippers,28.1,29.3,27.0,28.3,27.9,28.1
25,Indiana,27.8,31.0,33.0,28.0,27.6,27.8
26,Sacramento,27.7,30.0,31.0,28.5,27.1,27.7
27,Boston,26.9,27.0,30.0,28.2,25.4,26.9
27,Brooklyn,26.9,27.0,27.0,27.3,26.6,26.9
29,New Orleans,24.8,26.7,34.0,25.2,24.3,24.8
30,Philadelphia,24.4,23.7,23.0,25.5,22.7,24.4
