Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Atlanta,30.5,31.0,33.0,28.1,31.9,30.5
2,Toronto,30.3,31.3,28.0,29.8,30.7,30.3
3,Miami,30.2,29.7,22.0,30.0,30.4,30.2
4,Chicago,29.6,27.0,29.0,29.3,30.0,29.6
5,Utah,29.6,29.7,32.0,32.0,26.9,29.6
6,Denver,29.2,29.3,32.0,31.5,27.2,29.2
7,New York,29.2,27.7,28.0,28.7,29.9,29.2
8,Memphis,28.6,33.7,33.0,29.0,28.0,28.6
9,Golden State,27.5,29.0,34.0,30.1,26.0,27.5
10,Cleveland,27.1,27.7,27.0,26.6,27.8,27.1
11,Detroit,27.0,27.7,24.0,26.8,27.2,27.0
12,Milwaukee,26.8,27.0,22.0,27.5,25.6,26.8
13,San Antonio,26.8,24.7,17.0,28.9,23.2,26.8
14,Okla City,26.6,30.3,33.0,28.6,24.9,26.6
15,Sacramento,26.3,27.7,27.0,26.1,26.4,26.3
16,Charlotte,26.2,26.0,26.0,26.6,25.8,26.2
17,Orlando,26.2,33.0,38.0,24.0,28.6,26.2
18,LA Lakers,26.0,27.7,29.0,26.9,25.4,26.0
18,Washington,26.0,29.7,30.0,25.3,26.5,26.0
20,Phoenix,25.9,21.0,11.0,24.8,27.7,25.9
21,Philadelphia,25.8,26.7,22.0,25.8,25.7,25.8
22,Minnesota,25.7,22.3,21.0,25.8,25.7,25.7
23,Houston,25.3,23.3,26.0,24.1,26.4,25.3
24,Portland,25.3,24.3,24.0,25.6,25.1,25.3
25,Brooklyn,24.6,24.3,19.0,24.1,25.0,24.6
26,Boston,24.5,26.0,29.0,26.0,22.9,24.5
27,LA Clippers,24.0,25.7,24.0,26.3,22.2,24.0
28,Dallas,23.8,23.7,22.0,24.2,23.2,23.8
29,Indiana,23.5,26.3,22.0,24.6,22.6,23.5
30,New Orleans,23.1,24.7,28.0,23.7,22.4,23.1
