Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Atlanta,0.293,0.306,0.313,0.272,0.305,0.293
2,Toronto,0.291,0.305,0.272,0.29,0.292,0.291
3,Denver,0.284,0.295,0.324,0.303,0.267,0.284
4,New York,0.283,0.275,0.293,0.279,0.29,0.283
5,Utah,0.276,0.278,0.299,0.291,0.258,0.276
6,Chicago,0.275,0.243,0.257,0.276,0.274,0.275
7,Miami,0.275,0.272,0.209,0.27,0.28,0.275
8,Memphis,0.274,0.338,0.334,0.277,0.271,0.274
9,Golden State,0.263,0.274,0.318,0.293,0.247,0.263
10,San Antonio,0.26,0.244,0.172,0.283,0.222,0.26
11,Detroit,0.257,0.268,0.228,0.25,0.265,0.257
12,Milwaukee,0.257,0.26,0.222,0.265,0.245,0.257
13,Cleveland,0.257,0.272,0.262,0.257,0.256,0.257
14,Okla City,0.253,0.293,0.329,0.274,0.237,0.253
15,Charlotte,0.253,0.256,0.26,0.266,0.243,0.253
16,LA Lakers,0.252,0.262,0.29,0.258,0.248,0.252
17,Orlando,0.251,0.321,0.351,0.231,0.273,0.251
18,Phoenix,0.251,0.206,0.112,0.241,0.265,0.251
19,Sacramento,0.25,0.262,0.246,0.245,0.253,0.25
20,Houston,0.248,0.238,0.264,0.238,0.256,0.248
21,Boston,0.246,0.266,0.293,0.261,0.23,0.246
22,Philadelphia,0.246,0.245,0.203,0.25,0.239,0.246
23,Minnesota,0.245,0.211,0.191,0.245,0.246,0.245
24,Brooklyn,0.244,0.25,0.199,0.238,0.249,0.244
25,Washington,0.244,0.28,0.284,0.233,0.251,0.244
26,LA Clippers,0.238,0.258,0.24,0.263,0.218,0.238
27,Portland,0.237,0.241,0.242,0.237,0.237,0.237
28,New Orleans,0.224,0.232,0.248,0.229,0.218,0.224
29,Dallas,0.222,0.23,0.209,0.223,0.22,0.222
30,Indiana,0.22,0.252,0.209,0.226,0.215,0.22
