Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Denver,4.9,7.3,4.0,6.8,3.3,4.9
2,Houston,4.8,2.7,7.0,2.0,7.3,4.8
3,Okla City,4.3,3.0,21.0,7.6,1.7,4.3
4,San Antonio,3.6,-0.7,5.0,4.6,1.8,3.6
5,Miami,3.5,5.0,1.0,4.0,3.0,3.5
6,Minnesota,2.5,0.3,4.0,6.4,-0.9,2.5
7,Boston,1.6,3.7,5.0,0.7,2.6,1.6
8,Toronto,1.5,4.7,-3.0,1.8,1.3,1.5
9,Orlando,1.4,-1.0,0.0,2.0,0.7,1.4
10,Cleveland,1.1,2.7,3.0,-0.3,3.0,1.1
11,New York,0.6,-1.7,-2.0,2.9,-2.3,0.6
12,Milwaukee,0.5,-7.3,-5.0,0.5,0.6,0.5
13,Phoenix,0.3,-1.3,-7.0,2.5,-3.1,0.3
14,Utah,0.2,7.0,9.0,6.3,-6.6,0.2
15,Atlanta,0.2,-7.7,-22.0,1.1,-0.3,0.2
16,Detroit,-0.5,4.0,3.0,-1.3,0.2,-0.5
17,LA Clippers,-0.8,2.0,1.0,2.3,-3.2,-0.8
18,LA Lakers,-1.1,-2.7,-1.0,-2.9,0.2,-1.1
19,Golden State,-1.2,-8.3,-9.0,0.4,-2.1,-1.2
20,Charlotte,-1.3,-5.3,-3.0,2.9,-5.0,-1.3
21,Philadelphia,-1.7,1.0,0.0,-3.8,1.3,-1.7
22,Dallas,-1.7,-3.0,-1.0,-2.1,-1.0,-1.7
23,Washington,-1.8,4.0,22.0,1.1,-3.8,-1.8
24,Memphis,-1.8,2.7,-4.0,-1.6,-2.1,-1.8
25,Portland,-2.2,-3.0,5.0,-2.7,-1.9,-2.2
26,Chicago,-2.5,-4.0,-7.0,-1.5,-3.3,-2.5
27,Indiana,-3.1,0.0,-3.0,-2.6,-3.4,-3.1
28,Brooklyn,-3.5,-3.3,2.0,-1.9,-4.9,-3.5
29,New Orleans,-3.6,6.7,7.0,-4.9,-1.9,-3.6
29,Sacramento,-3.6,-7.3,-4.0,-2.4,-4.5,-3.6
