Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,8.4,15.0,6.0,5.9,10.5,8.4
2,Denver,5.7,-0.3,2.0,4.4,6.9,5.7
3,Cleveland,5.5,1.3,-8.0,6.7,3.9,5.5
4,Houston,4.9,0.0,13.0,5.6,4.3,4.9
5,Toronto,4.1,10.3,8.0,3.1,4.8,4.1
6,LA Lakers,3.0,9.0,14.0,3.6,2.6,3.0
7,Detroit,2.9,-6.7,-11.0,3.0,2.9,2.9
8,Phoenix,2.4,-3.0,-13.0,3.5,0.7,2.4
9,Boston,2.1,0.0,-14.0,-0.1,4.6,2.1
10,Orlando,1.9,14.3,15.0,2.0,1.8,1.9
11,Milwaukee,1.7,0.7,0.0,3.2,-0.6,1.7
12,Miami,1.6,6.7,-4.0,0.8,2.4,1.6
13,New York,1.3,-1.3,10.0,4.4,-2.9,1.3
14,San Antonio,1.2,-4.3,-16.0,0.0,3.2,1.2
15,Golden State,0.9,-5.3,5.0,7.1,-2.8,0.9
16,Minnesota,0.6,-3.3,-8.0,-1.9,2.9,0.6
17,Atlanta,0.2,5.0,3.0,-4.7,3.1,0.2
18,Dallas,-0.5,3.7,4.0,0.2,-1.8,-0.5
19,Portland,-0.8,1.7,0.0,-0.7,-0.9,-0.8
20,Chicago,-1.5,-2.7,3.0,0.8,-3.6,-1.5
21,Memphis,-1.9,7.0,-2.0,-0.5,-3.6,-1.9
22,Charlotte,-2.6,-2.7,-5.0,-6.3,0.6,-2.6
23,Philadelphia,-2.8,-6.3,-15.0,-2.6,-3.1,-2.8
24,Utah,-3.5,-11.0,-5.0,-2.6,-4.5,-3.5
25,Brooklyn,-3.6,-4.7,-10.0,-5.4,-2.0,-3.6
26,LA Clippers,-5.1,-4.0,-14.0,-3.5,-6.4,-5.1
27,Sacramento,-6.1,1.3,8.0,-5.1,-6.9,-6.1
28,Indiana,-6.4,0.0,11.0,-2.1,-10.1,-6.4
29,New Orleans,-6.6,-9.0,-3.0,-5.4,-8.0,-6.6
30,Washington,-7.2,-10.0,-3.0,-12.6,-3.5,-7.2
