Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,24.3,30.0,36.0,24.9,23.8,24.3
2,Denver,18.4,14.3,17.0,21.0,16.0,18.4
3,Houston,18.0,16.7,23.0,16.6,19.3,18.0
4,Minnesota,17.8,16.7,14.0,19.9,15.9,17.8
5,Boston,17.4,16.0,26.0,19.3,15.3,17.4
6,Phoenix,17.2,11.0,2.0,21.0,11.3,17.2
7,New York,16.9,12.3,19.0,22.2,10.1,16.9
8,Miami,16.7,23.3,13.0,17.0,16.4,16.7
9,Toronto,15.9,20.3,14.0,16.6,15.3,15.9
10,Cleveland,15.7,16.7,8.0,14.2,17.8,15.7
11,Detroit,15.6,22.3,19.0,15.3,15.9,15.6
12,San Antonio,15.4,13.3,11.0,16.8,13.2,15.4
13,Orlando,15.2,22.0,46.0,14.0,16.4,15.2
14,LA Lakers,14.2,18.0,18.0,13.6,14.7,14.2
15,Golden State,13.8,14.0,26.0,21.6,9.3,13.8
16,Atlanta,13.7,11.3,0.0,11.4,15.0,13.7
17,Portland,12.3,15.3,33.0,9.7,13.9,12.3
18,Memphis,12.1,20.0,3.0,16.6,6.4,12.1
19,Chicago,11.8,5.7,5.0,12.5,11.2,11.8
20,Utah,11.6,12.0,11.0,15.7,7.0,11.6
21,LA Clippers,10.6,12.0,4.0,14.0,7.8,10.6
22,Charlotte,10.5,6.0,8.0,12.8,8.4,10.5
23,Philadelphia,10.1,6.7,7.0,8.0,13.0,10.1
24,Washington,9.9,17.0,33.0,12.6,8.0,9.9
25,Milwaukee,9.4,2.7,1.0,10.2,8.1,9.4
26,Brooklyn,8.4,7.7,5.0,7.4,9.2,8.4
27,Dallas,7.5,5.0,5.0,8.0,6.5,7.5
28,New Orleans,7.3,14.7,22.0,7.4,7.1,7.3
29,Indiana,6.9,9.3,2.0,9.0,5.1,6.9
30,Sacramento,6.3,5.3,6.0,5.1,7.3,6.3
