Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,15.4,21.3,28.0,17.5,13.7,15.4
2,Denver,9.7,3.7,8.0,12.9,6.9,9.7
3,Houston,7.8,3.7,9.0,7.6,8.0,7.8
4,Minnesota,6.1,6.0,5.0,8.9,3.6,6.1
5,New York,5.9,3.7,14.0,11.4,-1.3,5.9
6,Toronto,5.8,15.0,12.0,8.8,3.4,5.8
7,Miami,5.2,13.7,8.0,5.9,4.4,5.2
8,Detroit,5.1,14.7,13.0,3.8,6.2,5.1
9,Phoenix,4.6,-1.3,-9.0,9.9,-3.7,4.6
10,Orlando,4.4,7.3,38.0,4.8,4.0,4.4
11,Cleveland,3.5,6.7,-12.0,3.4,3.8,3.5
12,San Antonio,3.0,-1.3,-6.0,5.6,-1.3,3.0
13,Boston,2.7,3.3,21.0,6.2,-1.3,2.7
14,Golden State,1.4,9.0,22.0,10.7,-4.0,1.4
15,Atlanta,1.1,-3.7,-33.0,0.1,1.7,1.1
16,LA Lakers,1.1,6.3,5.0,0.4,1.5,1.1
17,Chicago,-0.7,-16.0,-15.0,0.6,-1.9,-0.7
18,Portland,-1.7,-3.3,21.0,-4.9,0.4,-1.7
19,Memphis,-2.6,10.7,-8.0,1.4,-7.6,-2.6
20,Charlotte,-3.3,-12.7,-4.0,-3.1,-3.4,-3.3
21,LA Clippers,-3.4,-1.3,-5.0,0.5,-6.6,-3.4
22,Milwaukee,-4.2,-12.0,-21.0,-2.9,-6.3,-4.2
23,Washington,-6.1,3.7,33.0,-2.0,-8.9,-6.1
24,Dallas,-6.3,-3.7,-8.0,-4.4,-10.5,-6.3
25,Philadelphia,-6.5,-16.0,-38.0,-8.4,-3.7,-6.5
26,Utah,-6.8,-15.7,-22.0,-0.2,-14.1,-6.8
27,Sacramento,-8.7,-14.3,-5.0,-10.4,-7.3,-8.7
28,Brooklyn,-9.1,-1.3,-14.0,-11.8,-6.7,-9.1
29,Indiana,-10.8,-4.0,-13.0,-5.4,-15.6,-10.8
30,New Orleans,-11.6,-1.0,15.0,-10.1,-13.5,-11.6
