Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,16.9,24.3,27.0,18.9,15.4,16.9
2,Houston,11.1,9.7,22.0,11.4,10.9,11.1
3,Denver,10.0,2.7,10.0,13.3,7.1,10.0
4,Detroit,7.0,8.7,5.0,6.5,7.4,7.0
5,Toronto,6.9,17.0,11.0,8.8,5.5,6.9
6,San Antonio,6.1,3.3,-9.0,7.9,3.0,6.1
7,Miami,5.9,16.7,4.0,7.3,4.6,5.9
8,Minnesota,5.4,1.7,-5.0,8.5,2.7,5.4
9,Orlando,5.3,14.7,41.0,5.5,5.1,5.3
10,New York,5.2,1.0,13.0,12.2,-3.9,5.2
11,Boston,4.6,5.0,9.0,6.6,2.5,4.6
12,Cleveland,4.0,5.0,-11.0,3.8,4.3,4.0
13,Phoenix,3.7,-4.0,-22.0,8.5,-3.9,3.7
14,LA Lakers,3.5,11.0,17.0,5.3,2.2,3.5
15,Atlanta,1.8,0.3,-19.0,-2.7,4.4,1.8
16,Golden State,0.8,-0.3,17.0,13.3,-6.4,0.8
17,Philadelphia,-1.0,-14.0,-41.0,-3.4,2.4,-1.0
18,Portland,-2.1,-3.7,12.0,-0.9,-2.8,-2.1
19,Milwaukee,-2.8,-11.3,-12.0,-0.5,-6.6,-2.8
20,Chicago,-2.9,-16.0,-13.0,-0.6,-5.0,-2.9
21,Charlotte,-4.2,-9.0,-3.0,-2.3,-6.0,-4.2
22,Memphis,-4.7,12.3,-10.0,0.2,-10.8,-4.7
23,Dallas,-5.9,-2.3,-4.0,-4.4,-9.3,-5.9
24,LA Clippers,-6.1,-5.7,-17.0,-1.5,-9.7,-6.1
25,Utah,-7.5,-17.0,-17.0,-0.1,-15.8,-7.5
26,Brooklyn,-10.5,-5.0,-13.0,-13.4,-7.9,-10.5
27,New Orleans,-11.3,-2.3,13.0,-10.0,-13.0,-11.3
28,Sacramento,-11.4,-10.3,5.0,-12.6,-10.4,-11.4
29,Indiana,-12.4,-2.3,-5.0,-5.8,-18.2,-12.4
30,Washington,-14.1,-4.0,19.0,-15.0,-13.5,-14.1
