Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Detroit,7.1%,5.5%,4.9%,7.0%,7.2%,7.1%
2,Philadelphia,7.0%,6.5%,4.0%,7.2%,6.7%,7.0%
3,Dallas,6.7%,8.3%,5.3%,7.3%,5.5%,6.7%
4,Okla City,6.5%,8.6%,8.7%,7.9%,5.4%,6.5%
5,Cleveland,6.5%,6.2%,4.4%,7.2%,5.6%,6.5%
6,Boston,6.2%,5.3%,8.0%,5.1%,7.5%,6.2%
7,Atlanta,6.2%,7.1%,7.1%,6.5%,5.9%,6.2%
8,Washington,6.0%,5.8%,8.4%,6.7%,5.5%,6.0%
9,Minnesota,6.0%,4.5%,4.1%,6.7%,5.3%,6.0%
10,Orlando,5.9%,4.0%,4.9%,5.4%,6.4%,5.9%
11,Chicago,5.8%,7.0%,2.9%,6.9%,5.0%,5.8%
12,San Antonio,5.8%,3.8%,4.1%,5.3%,6.6%,5.8%
13,Houston,5.5%,4.2%,5.0%,5.1%,5.9%,5.5%
14,Indiana,5.4%,6.4%,4.8%,4.7%,6.2%,5.4%
15,LA Clippers,5.4%,2.3%,2.3%,6.7%,4.4%,5.4%
16,Portland,5.3%,6.7%,9.3%,5.4%,5.3%,5.3%
17,Milwaukee,5.3%,5.5%,6.3%,5.3%,5.4%,5.3%
18,Charlotte,5.3%,2.3%,2.2%,5.5%,5.0%,5.3%
19,New York,5.2%,7.8%,6.9%,4.5%,6.1%,5.2%
20,Phoenix,5.2%,4.8%,4.5%,5.4%,4.9%,5.2%
21,Golden State,5.1%,4.9%,5.1%,4.7%,5.3%,5.1%
22,Toronto,4.8%,3.6%,1.1%,5.1%,4.6%,4.8%
23,Memphis,4.6%,4.6%,4.4%,5.3%,3.8%,4.6%
24,Miami,4.3%,5.6%,7.2%,4.6%,4.0%,4.3%
25,Brooklyn,4.2%,5.3%,1.1%,3.1%,5.3%,4.2%
26,Denver,4.2%,4.7%,3.2%,3.8%,4.5%,4.2%
27,Utah,4.0%,4.0%,5.8%,4.9%,3.1%,4.0%
28,LA Lakers,3.9%,3.4%,4.9%,3.7%,4.1%,3.9%
29,New Orleans,3.9%,5.9%,6.1%,4.0%,3.8%,3.9%
30,Sacramento,3.6%,3.8%,3.1%,3.7%,3.5%,3.6%
