Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,1.008,0.984,0.946,0.991,1.021,1.008
2,Miami,1.073,0.996,0.967,1.042,1.104,1.073
3,Detroit,1.074,1.116,1.11,1.066,1.082,1.074
4,Dallas,1.075,1.045,1.005,1.074,1.077,1.075
5,Houston,1.087,1.047,0.934,1.098,1.078,1.087
6,Cleveland,1.088,1.063,1.069,1.086,1.09,1.088
7,San Antonio,1.089,1.114,1.123,1.086,1.092,1.089
8,Minnesota,1.09,1.069,1.065,1.055,1.121,1.09
9,Toronto,1.091,1.031,0.962,1.087,1.095,1.091
10,Phoenix,1.096,1.075,1.157,1.056,1.156,1.096
11,Orlando,1.098,1.173,0.95,1.068,1.132,1.098
12,Golden State,1.1,1.114,1.093,1.058,1.125,1.1
13,Boston,1.105,1.163,1.304,1.132,1.074,1.105
14,Denver,1.105,1.181,1.163,1.077,1.132,1.105
15,Atlanta,1.107,1.119,1.251,1.115,1.102,1.107
16,LA Lakers,1.114,1.105,1.181,1.14,1.096,1.114
17,New York,1.118,1.14,1.047,1.093,1.15,1.118
18,Memphis,1.123,1.062,1.264,1.111,1.138,1.123
19,Philadelphia,1.129,1.18,1.329,1.149,1.101,1.129
20,Portland,1.137,1.151,1.039,1.103,1.158,1.137
21,Milwaukee,1.145,1.178,1.16,1.16,1.123,1.145
22,Indiana,1.15,1.15,1.158,1.122,1.177,1.15
23,Chicago,1.153,1.216,1.266,1.141,1.163,1.153
24,Charlotte,1.165,1.22,1.129,1.156,1.173,1.165
25,Utah,1.17,1.205,1.252,1.167,1.174,1.17
26,LA Clippers,1.171,1.244,1.352,1.163,1.177,1.171
27,Sacramento,1.175,1.175,1.019,1.16,1.186,1.175
28,New Orleans,1.183,1.137,1.151,1.177,1.19,1.183
29,Brooklyn,1.187,1.152,1.184,1.201,1.175,1.187
30,Washington,1.201,1.177,1.071,1.192,1.208,1.201
