Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Milwaukee,58.1%,57.1%,51.7%,60.3%,54.7%,58.1%
2,Denver,57.9%,59.7%,62.6%,56.4%,59.3%,57.9%
3,LA Lakers,57.7%,60.3%,64.9%,59.6%,56.3%,57.7%
4,Toronto,57.1%,58.6%,54.4%,58.1%,56.4%,57.1%
5,San Antonio,57.1%,56.3%,48.1%,58.6%,54.6%,57.1%
6,Okla City,56.6%,62.9%,61.8%,56.6%,56.5%,56.6%
7,Atlanta,56.4%,54.9%,53.2%,53.1%,58.3%,56.4%
8,Minnesota,56.3%,50.5%,47.9%,55.3%,57.2%,56.3%
9,Chicago,55.6%,52.9%,64.6%,54.9%,56.3%,55.6%
10,Houston,55.5%,52.8%,56.3%,54.3%,56.6%,55.5%
11,Phoenix,55.4%,52.5%,49.4%,57.0%,53.1%,55.4%
12,Detroit,55.3%,62.7%,55.4%,53.1%,57.4%,55.3%
13,LA Clippers,55.2%,57.8%,59.9%,59.1%,52.2%,55.2%
14,Miami,55.1%,52.1%,47.3%,54.1%,56.2%,55.1%
15,New York,55.0%,56.7%,58.0%,56.1%,53.5%,55.0%
16,Golden State,54.8%,53.0%,58.2%,58.1%,52.8%,54.8%
17,Orlando,54.7%,59.1%,59.9%,53.7%,55.7%,54.7%
18,Cleveland,54.6%,55.5%,49.4%,55.4%,53.5%,54.6%
19,Washington,54.2%,58.1%,68.5%,52.9%,55.2%,54.2%
20,Boston,54.2%,61.1%,68.8%,55.2%,53.0%,54.2%
21,Philadelphia,53.8%,51.8%,50.6%,53.9%,53.8%,53.8%
22,Charlotte,53.7%,51.1%,53.5%,55.1%,52.5%,53.7%
23,Sacramento,53.0%,52.6%,46.9%,51.7%,54.1%,53.0%
24,Utah,52.5%,53.3%,53.0%,55.5%,49.1%,52.5%
25,Brooklyn,52.1%,53.5%,46.0%,50.5%,53.5%,52.1%
26,Portland,52.0%,52.1%,57.0%,51.2%,52.6%,52.0%
27,New Orleans,50.9%,51.6%,57.2%,50.9%,50.9%,50.9%
28,Dallas,50.5%,48.9%,45.4%,51.1%,49.2%,50.5%
29,Memphis,50.4%,53.0%,54.8%,52.1%,48.4%,50.4%
30,Indiana,47.8%,55.7%,55.5%,50.7%,45.1%,47.8%
