Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,New York,6.7,2.7,-2.0,8.6,4.3,6.7
2,Okla City,4.1,1.0,-1.0,4.8,3.6,4.1
3,Boston,3.9,-2.7,-8.0,6.8,0.8,3.9
4,Portland,3.6,2.3,1.0,4.3,3.2,3.6
5,Detroit,3.6,1.0,5.0,3.8,3.4,3.6
6,Houston,3.5,5.0,4.0,5.9,1.5,3.5
7,New Orleans,2.9,5.0,18.0,2.8,3.1,2.9
8,Cleveland,2.5,-0.3,-2.0,1.3,4.1,2.5
9,Orlando,1.9,9.7,16.0,0.6,3.3,1.9
10,Indiana,1.4,-7.7,-5.0,0.3,2.4,1.4
11,Phoenix,1.4,0.3,-4.0,-0.3,4.0,1.4
11,Memphis,1.4,8.3,0.0,0.6,2.4,1.4
13,Toronto,0.4,5.7,2.0,0.8,0.1,0.4
14,Charlotte,0.0,2.0,-8.0,-3.8,3.3,0.0
15,Golden State,-0.3,-0.7,6.0,0.9,-0.9,-0.3
16,San Antonio,-0.5,-4.3,-10.0,-0.4,-0.7,-0.5
17,Utah,-0.5,-2.0,-6.0,0.6,-1.8,-0.5
18,Minnesota,-0.6,6.3,0.0,0.5,-1.7,-0.6
19,Philadelphia,-0.8,-4.3,-16.0,-2.8,2.1,-0.8
20,LA Lakers,-0.8,3.0,10.0,0.6,-1.8,-0.8
21,Atlanta,-0.8,6.0,2.0,-0.3,-1.2,-0.8
22,Brooklyn,-1.1,-4.0,2.0,-1.4,-0.8,-1.1
23,Denver,-1.3,-3.3,0.0,0.8,-3.1,-1.3
24,Sacramento,-1.7,-4.0,0.0,-0.6,-2.5,-1.7
25,Miami,-2.6,7.0,1.0,-4.3,-0.9,-2.6
26,Milwaukee,-2.8,-2.3,-1.0,-3.1,-2.3,-2.8
27,LA Clippers,-4.0,-2.3,-10.0,-3.9,-4.1,-4.0
28,Chicago,-5.1,-8.7,-18.0,-2.1,-7.8,-5.1
29,Dallas,-5.4,-5.0,-1.0,-6.5,-3.2,-5.4
30,Washington,-8.2,-6.0,-2.0,-6.3,-9.5,-8.2
