Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Washington,2.451,1.968,2.154,2.722,2.235,2.451
2,Orlando,2.383,3.0,2.5,2.392,2.373,2.383
3,Chicago,2.323,2.786,5.25,2.018,2.554,2.323
4,Toronto,2.315,1.576,2.75,2.143,2.446,2.315
5,Philadelphia,2.278,2.13,2.143,2.433,2.102,2.278
6,Dallas,2.147,2.238,2.25,2.096,2.25,2.147
7,Denver,2.094,2.5,2.0,2.016,2.169,2.094
8,Indiana,2.07,1.654,1.0,2.185,1.967,2.07
9,Miami,2.0,2.036,2.125,2.141,1.86,2.0
10,San Antonio,1.971,1.333,1.75,1.818,2.25,1.971
11,Utah,1.926,2.083,3.0,1.868,2.0,1.926
12,Memphis,1.919,1.682,2.0,2.284,1.475,1.919
13,Atlanta,1.897,3.125,4.5,1.623,2.044,1.897
14,Milwaukee,1.786,1.44,1.4,2.022,1.411,1.786
15,Sacramento,1.748,2.364,2.333,1.828,1.692,1.748
16,Charlotte,1.719,1.625,0.0,2.048,1.528,1.719
17,Cleveland,1.717,1.846,1.909,1.839,1.593,1.717
18,Detroit,1.703,1.567,1.875,1.543,1.846,1.703
19,Boston,1.691,2.211,4.333,1.878,1.468,1.691
20,Portland,1.652,1.167,0.75,1.528,1.75,1.652
21,New York,1.622,2.0,1.667,1.802,1.387,1.622
22,New Orleans,1.576,1.303,1.308,1.559,1.597,1.576
23,Houston,1.57,1.533,1.385,1.543,1.597,1.57
24,Minnesota,1.547,0.919,1.667,1.309,1.795,1.547
25,LA Lakers,1.506,2.6,2.667,1.531,1.49,1.506
26,Brooklyn,1.458,2.267,2.2,1.541,1.368,1.458
27,Golden State,1.361,1.0,1.273,1.378,1.35,1.361
28,LA Clippers,1.353,1.286,1.143,1.219,1.481,1.353
29,Phoenix,1.309,1.031,0.444,1.176,1.482,1.309
30,Okla City,1.262,1.091,1.222,1.095,1.42,1.262
