Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Toronto,20.8,17.3,22.0,18.8,22.5,20.8
2,Orlando,19.3,18.0,25.0,18.9,19.8,19.3
3,Miami,19.0,19.0,17.0,20.2,17.8,19.0
4,Chicago,17.8,13.0,21.0,14.1,21.0,17.8
5,Dallas,17.6,15.7,18.0,16.8,19.5,17.6
6,Washington,17.6,20.3,28.0,21.0,15.2,17.6
7,Atlanta,17.5,16.7,18.0,14.1,19.4,17.5
8,Detroit,17.2,15.7,15.0,15.6,18.7,17.2
9,Philadelphia,16.9,16.3,15.0,16.3,17.7,16.9
10,San Antonio,16.8,10.7,7.0,16.0,18.0,16.8
11,Denver,15.6,11.7,10.0,15.6,15.7,15.6
12,Cleveland,15.6,16.0,21.0,14.5,17.1,15.6
13,Utah,15.3,16.7,21.0,15.8,14.8,15.3
14,Sacramento,15.1,17.3,21.0,14.6,15.4,15.1
14,Portland,15.1,9.3,6.0,15.7,14.6,15.1
16,New Orleans,14.9,14.3,17.0,14.5,15.4,14.9
17,Houston,14.9,15.3,18.0,15.4,14.4,14.9
18,New York,14.5,12.7,10.0,16.2,12.3,14.5
19,Minnesota,14.5,11.3,15.0,13.3,15.6,14.5
20,Memphis,14.4,12.3,12.0,16.9,11.3,14.4
20,Milwaukee,14.4,12.0,14.0,16.4,11.3,14.4
22,LA Lakers,14.2,21.7,24.0,14.0,14.3,14.2
23,Indiana,14.0,14.3,11.0,14.8,13.3,14.0
24,Golden State,13.9,11.0,14.0,14.6,13.5,13.9
25,Phoenix,13.9,11.0,4.0,11.5,17.6,13.9
26,Okla City,13.7,12.0,11.0,13.0,14.2,13.7
27,Boston,13.5,14.0,26.0,15.4,11.4,13.5
28,Charlotte,11.5,8.7,0.0,10.8,12.2,11.5
29,LA Clippers,11.3,9.0,8.0,11.1,11.4,11.3
30,Brooklyn,10.1,11.3,11.0,11.8,8.7,10.1
