Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Miami,45.0,45.7,42.0,45.2,44.8,45.0
2,Denver,44.7,43.7,46.0,45.8,43.8,44.7
3,Houston,44.2,41.7,43.0,44.1,44.3,44.2
4,Toronto,44.1,43.7,44.0,43.6,44.5,44.1
5,Okla City,43.9,45.7,45.0,43.9,44.0,43.9
6,Detroit,43.8,45.3,42.0,43.6,44.0,43.8
7,Chicago,43.3,40.7,43.0,42.9,43.7,43.3
8,Milwaukee,43.3,42.0,38.0,44.8,40.9,43.3
9,Atlanta,43.0,43.3,43.0,40.1,44.7,43.0
9,New York,43.0,43.0,45.0,43.8,42.0,43.0
11,Minnesota,42.7,40.3,40.0,42.4,43.0,42.7
12,Boston,42.6,44.0,53.0,44.8,40.1,42.6
13,San Antonio,42.4,40.7,32.0,42.6,42.0,42.4
14,LA Lakers,42.2,46.0,50.0,44.6,40.6,42.2
15,Phoenix,42.1,38.3,33.0,42.4,41.6,42.1
16,Washington,42.0,43.7,48.0,42.0,42.0,42.0
17,Cleveland,41.9,41.3,36.0,41.5,42.5,41.9
18,Portland,41.8,37.3,36.0,41.1,42.2,41.8
19,Orlando,41.6,49.3,54.0,39.9,43.6,41.6
20,Philadelphia,41.6,41.0,37.0,40.8,42.7,41.6
21,Sacramento,41.4,42.3,42.0,40.4,42.3,41.4
22,Utah,41.1,41.7,47.0,43.8,38.1,41.1
23,Charlotte,40.7,41.0,39.0,40.0,41.3,40.7
24,New Orleans,39.9,43.3,53.0,40.7,39.0,39.9
25,Golden State,39.7,41.7,51.0,43.3,37.6,39.7
26,LA Clippers,39.6,41.7,42.0,41.3,38.3,39.6
27,Memphis,39.4,43.3,43.0,40.2,38.4,39.4
28,Dallas,38.8,37.7,38.0,39.0,38.3,38.8
29,Indiana,38.2,40.7,39.0,40.4,36.3,38.2
30,Brooklyn,37.5,37.0,33.0,37.0,37.9,37.5
