Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,38.1%,35.9%,31.6%,37.8%,38.3%,38.1%
2,Portland,33.0%,35.0%,27.9%,31.1%,34.2%,33.0%
3,Phoenix,30.4%,30.7%,31.0%,29.1%,32.2%,30.4%
4,Detroit,30.2%,22.0%,35.9%,34.0%,26.2%,30.2%
5,New York,30.0%,26.2%,22.5%,32.0%,27.4%,30.0%
6,Charlotte,29.8%,31.8%,25.0%,28.8%,30.6%,29.8%
7,Utah,29.7%,27.1%,29.2%,32.5%,26.5%,29.7%
8,New Orleans,29.1%,29.7%,39.6%,30.6%,27.4%,29.1%
9,Boston,29.0%,26.3%,21.2%,29.7%,28.2%,29.0%
10,Denver,28.4%,31.0%,32.6%,28.7%,28.1%,28.4%
11,Orlando,28.2%,33.6%,33.3%,26.3%,30.3%,28.2%
12,Philadelphia,27.4%,23.4%,20.0%,26.8%,28.2%,27.4%
13,San Antonio,27.2%,21.4%,30.4%,25.4%,29.9%,27.2%
14,Indiana,27.0%,20.8%,13.9%,24.0%,29.5%,27.0%
15,Minnesota,26.5%,32.7%,28.3%,27.4%,25.6%,26.5%
16,Cleveland,25.9%,20.3%,8.9%,24.8%,27.3%,25.9%
17,Memphis,25.6%,33.3%,25.6%,24.3%,27.1%,25.6%
18,LA Lakers,25.2%,25.5%,35.3%,26.1%,24.5%,25.2%
19,Brooklyn,25.0%,25.0%,27.7%,25.9%,24.1%,25.0%
20,Golden State,24.8%,30.6%,32.7%,23.2%,25.7%,24.8%
21,LA Clippers,24.3%,25.9%,21.2%,24.3%,24.3%,24.3%
22,Toronto,23.8%,25.4%,23.3%,23.0%,24.3%,23.8%
23,Okla City,23.7%,21.2%,29.3%,23.7%,23.6%,23.7%
24,Miami,23.3%,32.4%,28.6%,22.0%,24.7%,23.3%
25,Chicago,23.2%,20.3%,10.0%,25.9%,21.0%,23.2%
26,Atlanta,23.1%,25.6%,31.8%,24.1%,22.4%,23.1%
27,Washington,22.7%,21.5%,16.7%,20.9%,24.0%,22.7%
28,Dallas,22.3%,25.2%,27.8%,22.1%,22.8%,22.3%
29,Sacramento,20.1%,18.6%,21.6%,20.0%,20.1%,20.1%
30,Milwaukee,19.1%,13.6%,18.2%,17.8%,21.0%,19.1%
