Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,16.2,15.3,12.0,16.9,15.6,16.2
2,Portland,15.6,16.3,12.0,14.3,16.4,15.6
3,New York,13.9,11.3,9.0,14.7,12.9,13.9
4,New Orleans,13.7,13.7,19.0,14.3,12.9,13.7
5,Utah,13.6,12.0,14.0,14.9,12.1,13.6
6,Indiana,13.4,8.3,5.0,11.5,15.1,13.4
7,Boston,13.0,10.3,7.0,13.7,12.3,13.0
7,Detroit,13.0,7.3,14.0,15.9,10.4,13.0
7,Phoenix,13.0,13.0,13.0,11.7,15.0,13.0
10,Charlotte,12.6,14.0,9.0,11.5,13.6,12.6
11,Philadelphia,12.2,11.3,8.0,11.7,13.0,12.2
12,Orlando,12.0,14.7,15.0,11.0,13.1,12.0
13,Memphis,11.9,15.0,11.0,11.2,12.8,11.9
14,Cleveland,11.8,8.7,4.0,10.8,13.3,11.8
15,Denver,11.5,12.0,14.0,12.4,10.8,11.5
16,Minnesota,11.4,16.0,15.0,12.0,10.8,11.4
17,Brooklyn,11.2,10.0,13.0,12.0,10.4,11.2
18,San Antonio,11.1,9.3,14.0,9.9,13.0,11.1
19,Golden State,11.0,15.0,16.0,10.1,11.5,11.0
20,Miami,10.6,15.7,14.0,10.1,11.1,10.6
21,Dallas,10.5,12.3,15.0,10.2,11.0,10.5
22,Washington,10.5,9.3,6.0,9.7,11.0,10.5
23,Chicago,10.4,9.7,4.0,11.3,9.7,10.4
24,Okla City,10.0,8.0,12.0,10.0,10.0,10.0
25,LA Clippers,9.9,10.0,7.0,9.4,10.4,9.9
26,Atlanta,9.9,11.3,14.0,10.9,9.3,9.9
27,Toronto,9.8,9.7,10.0,9.5,10.0,9.8
28,LA Lakers,9.6,9.3,12.0,9.9,9.4,9.6
29,Sacramento,8.9,8.0,11.0,9.4,8.5,8.9
30,Milwaukee,8.2,5.7,8.0,7.4,9.4,8.2
