Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,San Antonio,25.6,27.7,25.0,24.5,27.3,25.6
2,Houston,26.6,22.3,23.0,28.7,24.8,26.6
3,Okla City,26.6,29.0,18.0,23.4,29.2,26.6
4,Denver,26.8,21.7,23.0,26.9,26.7,26.8
5,New York,27.7,27.3,26.0,27.8,27.6,27.7
6,Phoenix,28.2,28.0,30.0,25.3,32.7,28.2
7,Minnesota,28.6,28.0,23.0,27.3,29.8,28.6
8,Dallas,28.7,25.0,20.0,29.4,27.2,28.7
9,Boston,28.7,26.0,27.0,29.8,27.5,28.7
10,Golden State,28.8,33.0,35.0,29.0,28.7,28.8
11,Milwaukee,29.0,31.7,32.0,29.2,28.7,29.0
12,Toronto,29.3,26.7,32.0,27.8,30.5,29.3
12,Memphis,29.3,23.7,27.0,29.0,29.6,29.3
14,Atlanta,29.4,31.7,45.0,29.3,29.4,29.4
15,Indiana,29.4,33.7,35.0,30.3,28.7,29.4
16,Cleveland,29.4,28.0,29.0,29.2,29.8,29.4
17,Orlando,29.8,32.0,35.0,29.3,30.3,29.8
18,Miami,29.9,26.0,19.0,26.9,32.9,29.9
19,Detroit,30.1,29.3,32.0,30.0,30.2,30.1
20,LA Clippers,30.9,31.3,37.0,29.0,32.4,30.9
20,New Orleans,30.9,25.3,30.0,32.9,28.4,30.9
22,Portland,31.0,31.3,27.0,30.7,31.2,31.0
23,Brooklyn,31.2,28.7,24.0,30.5,31.8,31.2
24,Utah,31.3,29.3,26.0,30.7,32.0,31.3
25,LA Lakers,31.5,34.7,38.0,33.6,30.1,31.5
26,Sacramento,32.4,32.3,27.0,31.3,33.3,32.4
27,Chicago,32.4,38.0,37.0,33.8,31.2,32.4
28,Washington,32.5,31.3,23.0,31.4,33.2,32.5
29,Philadelphia,32.7,30.7,35.0,33.5,31.6,32.7
30,Charlotte,33.4,34.7,28.0,31.4,35.2,33.4
