Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,50.6,47.3,49.0,51.1,50.1,50.6
2,Boston,53.9,53.7,72.0,58.2,49.1,53.9
3,LA Lakers,54.9,52.7,52.0,56.7,53.7,54.9
4,Cleveland,55.0,53.3,53.0,53.9,56.5,55.0
5,Houston,55.1,57.3,42.0,53.6,56.5,55.1
6,Orlando,55.4,52.0,43.0,54.6,56.2,55.4
7,Detroit,55.6,61.3,62.0,56.5,54.8,55.6
8,Denver,55.9,62.7,61.0,56.6,55.2,55.9
9,Dallas,56.2,55.0,54.0,57.2,54.0,56.2
10,Phoenix,56.3,55.0,55.0,56.2,56.6,56.3
11,Brooklyn,56.5,56.0,62.0,59.5,53.9,56.5
12,Miami,56.6,54.3,58.0,58.3,54.8,56.6
13,Philadelphia,56.6,54.3,58.0,57.5,55.4,56.6
14,San Antonio,56.8,60.7,62.0,58.5,53.8,56.8
15,Milwaukee,57.2,53.7,50.0,57.2,57.1,57.2
16,Toronto,57.6,53.0,45.0,57.1,58.0,57.6
17,Golden State,57.7,61.7,62.0,51.6,61.3,57.7
18,Minnesota,57.7,56.7,55.0,57.3,58.1,57.7
19,New York,57.8,60.7,52.0,55.6,60.7,57.8
20,Atlanta,57.9,54.0,55.0,59.4,57.1,57.9
21,Memphis,58.4,53.7,63.0,57.6,59.4,58.4
22,Charlotte,58.5,62.0,60.0,58.1,58.9,58.5
23,LA Clippers,58.9,62.0,66.0,57.0,60.5,58.9
24,Portland,59.2,52.0,50.0,60.3,58.5,59.2
25,Sacramento,60.1,55.7,47.0,61.0,59.3,60.1
26,New Orleans,60.7,66.7,72.0,59.5,62.3,60.7
27,Chicago,60.9,64.0,69.0,58.1,63.4,60.9
28,Utah,61.3,63.3,67.0,61.2,61.4,61.3
29,Indiana,61.8,57.7,51.0,59.5,63.8,61.8
30,Washington,62.4,66.0,58.0,63.7,61.5,62.4
