Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,24.8,20.3,22.0,25.4,24.3,24.8
2,Boston,26.7,28.7,32.0,28.7,24.5,26.7
3,Cleveland,26.7,28.0,31.0,25.3,28.8,26.7
4,Houston,27.1,29.7,25.0,26.7,27.4,27.1
5,Orlando,27.4,26.7,23.0,26.0,28.9,27.4
6,Phoenix,27.4,27.3,25.0,26.7,28.6,27.4
7,Denver,27.5,30.0,31.0,28.6,26.6,27.5
8,Detroit,27.7,31.3,33.0,27.4,28.0,27.7
9,Miami,27.8,25.7,28.0,28.9,26.8,27.8
10,Golden State,28.3,27.0,29.0,25.4,30.0,28.3
11,Milwaukee,28.9,29.0,30.0,29.5,28.1,28.9
12,Brooklyn,29.1,28.0,38.0,31.0,27.3,29.1
12,LA Lakers,29.1,25.0,27.0,31.3,27.5,29.1
14,Portland,29.2,25.0,21.0,31.6,27.6,29.2
15,Toronto,29.4,25.3,22.0,28.4,30.2,29.4
16,Dallas,29.5,27.7,28.0,29.5,29.5,29.5
17,Atlanta,29.6,30.3,34.0,31.6,28.4,29.6
18,Minnesota,29.7,28.7,31.0,29.9,29.6,29.7
19,New York,29.9,32.0,27.0,28.9,31.1,29.9
20,San Antonio,29.9,36.3,37.0,30.5,29.0,29.9
21,Washington,30.1,33.0,23.0,30.0,30.2,30.1
22,LA Clippers,30.2,29.0,29.0,29.8,30.6,30.2
23,Memphis,30.3,28.7,31.0,29.8,30.9,30.3
24,Charlotte,30.7,35.7,39.0,31.4,30.1,30.7
24,Chicago,30.7,31.3,34.0,29.4,31.9,30.7
26,Sacramento,30.8,31.0,28.0,30.8,30.9,30.8
27,Utah,31.1,34.7,39.0,31.8,30.4,31.1
28,Philadelphia,31.8,29.0,35.0,33.1,30.0,31.8
29,New Orleans,31.8,34.3,35.0,31.1,32.8,31.8
30,Indiana,32.9,32.7,30.0,30.5,35.0,32.9
