Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Philadelphia,24.8,25.3,23.0,24.4,25.4,24.8
2,Okla City,25.8,27.0,27.0,25.8,25.8,25.8
3,LA Lakers,25.9,27.7,25.0,25.4,26.2,25.9
4,Dallas,26.6,27.3,26.0,27.6,24.5,26.6
5,San Antonio,26.8,24.3,25.0,28.0,24.8,26.8
6,Boston,27.2,25.0,40.0,29.6,24.6,27.2
7,Brooklyn,27.5,28.0,24.0,28.5,26.6,27.5
8,Charlotte,27.8,26.3,21.0,26.8,28.8,27.8
9,Detroit,27.9,30.0,29.0,29.1,26.8,27.9
10,New York,27.9,28.7,25.0,26.7,29.6,27.9
11,Minnesota,28.0,28.0,24.0,27.4,28.6,28.0
11,Orlando,28.0,25.3,20.0,28.6,27.3,28.0
13,Houston,28.1,27.7,17.0,26.9,29.1,28.1
14,Memphis,28.1,25.0,32.0,27.8,28.5,28.1
15,Milwaukee,28.2,24.7,20.0,27.7,29.0,28.2
15,Toronto,28.2,27.7,23.0,28.8,27.8,28.2
17,Cleveland,28.3,25.3,22.0,28.6,27.8,28.3
18,Denver,28.4,32.7,30.0,28.0,28.7,28.4
19,Atlanta,28.4,23.7,21.0,27.9,28.7,28.4
20,Miami,28.7,28.7,30.0,29.4,28.0,28.7
20,LA Clippers,28.7,33.0,37.0,27.3,29.9,28.7
22,Indiana,28.9,25.0,21.0,29.0,28.8,28.9
23,Phoenix,28.9,27.7,30.0,29.5,28.0,28.9
23,New Orleans,28.9,32.3,37.0,28.4,29.5,28.9
25,Sacramento,29.2,24.7,19.0,30.3,28.4,29.2
26,Golden State,29.4,34.7,33.0,26.1,31.3,29.4
27,Portland,30.0,27.0,29.0,28.7,30.8,30.0
28,Utah,30.2,28.7,28.0,29.4,31.0,30.2
29,Chicago,30.2,32.7,35.0,28.8,31.6,30.2
30,Washington,32.3,33.0,35.0,33.7,31.3,32.3
