Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,0.933,0.926,0.99,0.926,0.939,0.933
2,New York,0.944,0.973,1.031,0.934,0.956,0.944
3,LA Lakers,0.946,0.927,0.91,0.942,0.948,0.946
4,Detroit,0.947,0.913,0.924,0.958,0.937,0.947
5,Golden State,0.951,1.0,1.0,0.971,0.939,0.951
6,Cleveland,0.954,0.957,0.942,0.952,0.956,0.954
7,Phoenix,0.955,0.944,0.959,0.957,0.952,0.955
8,New Orleans,0.956,0.94,0.885,0.96,0.95,0.956
9,Orlando,0.956,0.938,0.88,0.946,0.967,0.956
10,Toronto,0.957,0.909,0.922,0.954,0.959,0.957
11,Portland,0.957,0.96,0.95,0.937,0.97,0.957
12,San Antonio,0.959,1.007,1.051,0.952,0.971,0.959
13,Atlanta,0.961,0.937,0.934,0.957,0.963,0.961
14,Sacramento,0.966,1.0,0.991,0.951,0.978,0.966
15,Milwaukee,0.966,0.936,0.96,0.965,0.969,0.966
16,Memphis,0.967,0.96,1.0,0.972,0.961,0.967
17,Charlotte,0.968,0.987,1.01,0.99,0.95,0.968
18,Minnesota,0.969,0.94,0.991,0.96,0.977,0.969
19,Utah,0.972,0.956,1.056,0.971,0.974,0.972
20,Brooklyn,0.976,0.997,1.01,0.981,0.97,0.976
21,Houston,0.976,0.952,0.919,0.984,0.968,0.976
22,Indiana,0.98,1.019,0.972,0.975,0.984,0.98
23,Boston,0.98,1.003,1.101,0.978,0.982,0.98
24,Philadelphia,0.981,0.991,1.028,0.997,0.959,0.981
25,LA Clippers,0.982,0.983,1.01,0.97,0.992,0.982
26,Miami,0.99,0.966,0.991,1.003,0.978,0.99
27,Dallas,0.991,1.019,1.0,0.995,0.981,0.991
28,Denver,0.992,1.013,1.0,0.989,0.995,0.992
29,Chicago,1.007,1.03,1.044,0.994,1.017,1.007
30,Washington,1.019,1.0,0.953,1.003,1.031,1.019
