Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,36.7,36.7,34.0,36.0,37.3,36.7
2,Boston,37.4,41.0,47.0,39.2,35.3,37.4
3,Detroit,38.2,41.3,39.0,39.4,37.1,38.2
4,Toronto,39.7,36.7,36.0,39.9,39.6,39.7
5,San Antonio,40.0,44.7,43.0,40.0,40.0,40.0
6,Houston,40.1,36.3,33.0,40.7,39.5,40.1
7,Phoenix,40.3,38.0,43.0,38.7,42.7,40.3
8,New York,40.4,38.3,33.0,40.0,40.9,40.4
9,Minnesota,40.4,41.3,42.0,40.3,40.6,40.4
10,Cleveland,40.6,39.3,44.0,39.5,42.1,40.6
11,Denver,41.4,44.0,43.0,40.5,42.1,41.4
12,Atlanta,41.4,40.7,48.0,41.6,41.3,41.4
13,LA Lakers,41.4,43.3,42.0,42.1,40.9,41.4
14,Orlando,41.5,44.3,37.0,40.3,42.9,41.5
15,Golden State,41.8,42.7,47.0,40.3,42.7,41.8
16,Milwaukee,41.8,42.3,36.0,42.7,40.4,41.8
17,Miami,41.9,39.7,38.0,41.4,42.4,41.9
18,LA Clippers,42.3,45.3,50.0,40.4,43.8,42.3
19,Dallas,42.3,40.3,42.0,42.6,41.7,42.3
20,Memphis,42.9,39.3,46.0,43.1,42.8,42.9
21,Portland,43.1,41.0,38.0,42.3,43.6,43.1
22,Brooklyn,43.4,42.0,45.0,44.8,42.1,43.4
22,Indiana,43.4,42.7,42.0,43.0,43.7,43.4
24,Philadelphia,43.4,49.0,54.0,43.0,44.0,43.4
25,New Orleans,43.6,41.7,43.0,43.9,43.3,43.6
26,Charlotte,44.8,45.7,45.0,42.9,46.4,44.8
26,Utah,44.8,46.7,51.0,44.7,44.9,44.8
28,Sacramento,45.1,45.0,40.0,43.9,46.0,45.1
29,Chicago,45.2,48.0,53.0,44.4,45.9,45.2
30,Washington,45.6,44.3,43.0,45.4,45.8,45.6
