Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,53.0%,60.7%,59.5%,57.8%,49.5%,53.0%
2,San Antonio,54.6%,54.0%,52.7%,55.5%,53.3%,54.6%
3,Boston,56.3%,56.7%,57.4%,57.1%,55.3%,56.3%
4,Minnesota,57.1%,53.9%,52.2%,56.8%,57.4%,57.1%
5,Miami,57.5%,55.9%,52.0%,56.7%,58.4%,57.5%
6,Detroit,57.8%,62.8%,55.3%,59.2%,56.4%,57.8%
7,Cleveland,58.6%,62.2%,68.0%,58.0%,59.5%,58.6%
8,Houston,58.7%,59.8%,51.3%,59.1%,58.4%,58.7%
9,Chicago,59.1%,59.4%,60.6%,61.1%,57.3%,59.1%
10,Dallas,59.1%,59.8%,59.7%,59.1%,59.2%,59.1%
11,Orlando,59.3%,66.7%,52.8%,60.2%,58.5%,59.3%
12,Denver,59.6%,60.9%,62.8%,58.5%,60.7%,59.6%
13,New York,60.1%,64.3%,57.6%,58.6%,61.9%,60.1%
14,Golden State,60.3%,57.5%,62.1%,57.9%,61.8%,60.3%
15,LA Clippers,60.4%,66.4%,66.1%,59.7%,61.0%,60.4%
16,Phoenix,60.7%,57.7%,56.6%,57.9%,65.4%,60.7%
17,Charlotte,61.1%,61.5%,58.6%,60.2%,61.9%,61.1%
18,Memphis,61.3%,52.9%,54.5%,61.1%,61.4%,61.3%
19,LA Lakers,61.5%,65.9%,69.0%,65.3%,58.9%,61.5%
20,Washington,61.6%,62.6%,63.6%,62.1%,61.3%,61.6%
21,Atlanta,61.7%,63.8%,72.5%,63.7%,60.4%,61.7%
22,Toronto,61.8%,62.1%,57.9%,64.5%,59.8%,61.8%
23,Milwaukee,61.9%,65.8%,58.1%,61.9%,61.8%,61.9%
24,Portland,62.1%,64.5%,61.0%,59.0%,64.0%,62.1%
25,Brooklyn,62.1%,59.1%,63.5%,66.5%,58.2%,62.1%
26,Philadelphia,62.8%,64.1%,65.1%,62.0%,63.9%,62.8%
27,Utah,63.2%,65.2%,69.6%,61.7%,64.8%,63.2%
28,Indiana,64.6%,59.2%,60.0%,62.1%,66.9%,64.6%
29,Sacramento,64.9%,63.2%,51.9%,62.9%,66.5%,64.9%
30,New Orleans,68.3%,70.6%,85.2%,68.5%,68.0%,68.3%
