Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,New York,22.2%,26.6%,27.7%,22.9%,21.3%,22.2%
2,Charlotte,22.7%,26.3%,22.7%,25.1%,20.6%,22.7%
3,San Antonio,23.0%,27.0%,23.4%,22.5%,23.7%,23.0%
4,Okla City,23.8%,29.4%,30.2%,25.6%,22.5%,23.8%
5,Orlando,24.0%,22.4%,20.0%,21.7%,26.6%,24.0%
6,Memphis,24.3%,21.6%,32.6%,24.7%,23.7%,24.3%
7,Utah,24.6%,20.2%,32.7%,24.4%,24.8%,24.6%
8,LA Lakers,25.2%,20.7%,21.2%,26.5%,24.4%,25.2%
9,Denver,25.3%,30.6%,25.6%,24.2%,26.3%,25.3%
10,Sacramento,26.0%,28.2%,28.3%,25.8%,26.3%,26.0%
11,Toronto,26.2%,17.1%,8.9%,24.9%,27.2%,26.2%
12,Houston,26.2%,28.1%,31.0%,28.3%,24.4%,26.2%
13,Milwaukee,26.3%,19.5%,27.9%,26.1%,26.6%,26.3%
14,Golden State,26.3%,33.1%,29.2%,29.1%,24.6%,26.3%
15,Detroit,26.4%,19.0%,13.9%,27.9%,24.9%,26.4%
16,Philadelphia,26.5%,25.9%,33.3%,28.0%,24.4%,26.5%
17,Cleveland,26.7%,23.5%,23.3%,25.5%,28.2%,26.7%
18,Chicago,26.7%,33.6%,39.6%,23.9%,29.1%,26.7%
19,Indiana,27.1%,35.5%,35.9%,25.6%,28.6%,27.1%
20,Dallas,27.4%,31.3%,28.6%,27.6%,27.0%,27.4%
21,LA Clippers,27.6%,27.9%,35.3%,26.9%,28.1%,27.6%
22,Minnesota,27.8%,28.8%,21.6%,26.6%,28.9%,27.8%
23,New Orleans,27.8%,19.4%,10.0%,30.3%,24.6%,27.8%
24,Atlanta,28.0%,23.9%,16.7%,29.2%,27.3%,28.0%
25,Brooklyn,28.0%,23.4%,22.5%,29.1%,27.0%,28.0%
26,Portland,28.3%,23.2%,18.2%,26.7%,29.3%,28.3%
27,Boston,28.4%,27.2%,37.5%,28.6%,28.1%,28.4%
28,Phoenix,28.9%,31.3%,31.6%,28.2%,30.0%,28.9%
29,Miami,29.2%,24.5%,27.8%,32.0%,26.2%,29.2%
30,Washington,30.9%,32.4%,31.8%,31.1%,30.8%,30.9%
