Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Dallas,28.3%,18.6%,14.2%,29.1%,26.4%,28.3%
2,Indiana,28.6%,29.2%,22.1%,29.2%,28.1%,28.6%
3,Orlando,30.7%,30.7%,26.2%,32.2%,29.0%,30.7%
4,Chicago,31.3%,31.8%,27.3%,29.2%,33.0%,31.3%
5,Toronto,31.7%,35.8%,42.4%,32.7%,31.0%,31.7%
6,Portland,32.1%,38.8%,37.9%,34.5%,30.7%,32.1%
7,Phoenix,32.2%,31.9%,34.2%,30.6%,34.4%,32.2%
8,Denver,32.2%,34.1%,41.7%,32.1%,32.4%,32.2%
9,Golden State,32.5%,33.9%,28.2%,33.1%,32.3%,32.5%
10,Sacramento,32.9%,35.5%,34.8%,33.9%,32.0%,32.9%
11,Cleveland,33.0%,26.9%,27.3%,29.8%,37.2%,33.0%
12,Minnesota,33.4%,30.9%,17.9%,32.4%,34.2%,33.4%
13,Milwaukee,33.4%,42.5%,47.0%,35.0%,30.7%,33.4%
14,Philadelphia,33.4%,29.6%,27.1%,32.2%,35.1%,33.4%
15,Atlanta,33.8%,36.2%,43.2%,29.3%,36.4%,33.8%
16,Washington,33.9%,32.9%,39.8%,33.8%,33.9%,33.9%
17,Brooklyn,34.5%,33.8%,31.9%,32.7%,36.1%,34.5%
18,Detroit,35.7%,41.7%,33.3%,32.9%,38.3%,35.7%
19,Charlotte,35.8%,37.2%,29.2%,35.6%,35.9%,35.8%
20,Boston,35.8%,37.8%,37.2%,36.3%,35.2%,35.8%
21,LA Lakers,35.8%,33.4%,33.1%,33.2%,37.7%,35.8%
22,Miami,36.0%,35.0%,35.3%,36.3%,35.8%,36.0%
23,Memphis,37.3%,42.6%,52.8%,34.0%,41.5%,37.3%
24,Houston,37.4%,35.1%,42.4%,35.0%,39.5%,37.4%
25,LA Clippers,37.5%,33.2%,28.9%,37.8%,37.3%,37.5%
26,New Orleans,37.6%,43.8%,46.2%,38.5%,36.5%,37.6%
27,Utah,37.8%,40.4%,42.5%,39.2%,36.2%,37.8%
28,San Antonio,38.6%,40.8%,37.8%,41.3%,34.2%,38.6%
29,New York,39.6%,37.5%,42.0%,42.1%,36.5%,39.6%
30,Okla City,39.7%,35.3%,37.9%,35.6%,43.0%,39.7%
