Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Portland,23.8,24.7,26.0,24.9,23.1,23.8
2,Orlando,23.7,23.0,20.0,23.8,23.7,23.7
3,Indiana,23.7,22.3,27.0,24.1,23.3,23.7
4,Detroit,23.5,23.3,27.0,23.6,23.3,23.5
5,LA Lakers,23.3,24.3,22.0,25.6,21.7,23.3
6,Dallas,22.9,18.0,16.0,24.3,20.0,22.9
7,Brooklyn,22.8,22.7,21.0,22.8,22.9,22.8
8,Cleveland,22.6,17.7,14.0,21.5,24.1,22.6
9,Utah,22.5,16.0,14.0,23.4,21.4,22.5
10,Houston,22.4,19.3,20.0,23.1,21.8,22.4
11,Okla City,22.4,22.0,19.0,22.3,22.5,22.4
12,Minnesota,22.4,25.3,21.0,23.5,21.3,22.4
13,San Antonio,22.1,20.7,23.0,21.0,24.0,22.1
14,New York,21.9,22.0,14.0,21.8,22.1,21.9
15,Denver,21.8,19.3,16.0,20.9,22.7,21.8
16,Charlotte,21.7,20.7,21.0,21.4,22.0,21.7
17,Miami,21.6,22.3,19.0,21.8,21.4,21.6
18,Philadelphia,21.6,18.7,20.0,21.7,21.4,21.6
19,New Orleans,21.6,20.0,21.0,22.3,20.6,21.6
20,Memphis,21.2,19.3,15.0,20.8,21.6,21.2
21,Chicago,20.9,22.0,21.0,21.4,20.4,20.9
22,Sacramento,20.2,20.0,28.0,20.6,19.8,20.2
22,LA Clippers,20.2,21.3,22.0,19.6,20.6,20.2
24,Phoenix,20.1,20.0,20.0,20.5,19.6,20.1
25,Toronto,20.1,18.3,13.0,19.1,20.8,20.1
26,Atlanta,19.8,17.0,19.0,20.4,19.5,19.8
27,Milwaukee,19.4,16.0,16.0,18.6,20.7,19.4
28,Golden State,19.4,18.7,14.0,18.3,20.0,19.4
29,Boston,19.4,18.7,17.0,18.9,19.9,19.4
30,Washington,18.0,18.0,19.0,17.7,18.2,18.0
