Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Orlando,22.8%,22.4%,18.5%,22.9%,22.7%,22.8%
2,Brooklyn,22.6%,23.2%,22.0%,22.5%,22.8%,22.6%
3,LA Lakers,22.6%,23.0%,22.0%,24.6%,21.2%,22.6%
4,Detroit,22.4%,22.6%,25.6%,22.1%,22.7%,22.4%
5,Portland,22.3%,24.5%,26.2%,23.0%,21.8%,22.3%
6,Indiana,22.2%,21.4%,25.6%,22.2%,22.2%,22.2%
7,Houston,21.9%,19.7%,20.3%,22.8%,21.1%,21.9%
8,San Antonio,21.5%,20.4%,23.3%,20.5%,23.0%,21.5%
9,Cleveland,21.4%,17.4%,13.6%,20.8%,22.3%,21.4%
10,Okla City,21.4%,21.2%,18.9%,21.3%,21.4%,21.4%
11,Dallas,21.4%,17.5%,15.2%,22.4%,19.0%,21.4%
12,Minnesota,21.3%,23.9%,19.1%,22.3%,20.4%,21.3%
13,New York,21.3%,21.9%,14.7%,21.2%,21.5%,21.3%
14,Denver,21.2%,19.5%,16.2%,20.0%,22.2%,21.2%
15,Charlotte,21.0%,20.4%,21.0%,21.3%,20.7%,21.0%
16,Utah,21.0%,15.0%,13.1%,21.3%,20.6%,21.0%
17,New Orleans,20.9%,18.8%,18.6%,21.6%,20.1%,20.9%
18,Philadelphia,20.6%,17.2%,18.5%,21.0%,19.9%,20.6%
19,Memphis,20.3%,19.4%,15.2%,19.8%,20.9%,20.3%
20,LA Clippers,20.0%,21.5%,22.0%,19.7%,20.2%,20.0%
21,Miami,19.7%,20.5%,18.0%,19.6%,19.7%,19.7%
22,Phoenix,19.4%,19.6%,20.3%,19.9%,18.7%,19.4%
23,Boston,19.4%,19.1%,17.2%,18.9%,20.0%,19.4%
24,Chicago,19.4%,19.8%,18.6%,20.2%,18.7%,19.4%
25,Toronto,19.3%,17.8%,12.6%,18.7%,19.8%,19.3%
26,Sacramento,19.2%,19.0%,25.5%,19.3%,19.0%,19.2%
27,Atlanta,19.0%,16.8%,18.0%,19.7%,18.6%,19.0%
28,Milwaukee,18.7%,15.4%,16.1%,17.9%,19.9%,18.7%
29,Golden State,18.5%,17.6%,13.1%,17.8%,19.0%,18.5%
30,Washington,16.9%,17.0%,18.0%,16.3%,17.2%,16.9%
