Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,129.2,125.0,113.0,125.4,132.2,129.2
2,Boston,135.1,143.3,162.0,139.4,130.1,135.1
3,Houston,135.3,122.3,103.0,135.6,135.1,135.3
4,Detroit,135.9,142.3,139.0,135.8,136.0,135.9
5,Orlando,138.3,147.0,125.0,135.3,141.6,138.3
6,San Antonio,138.6,141.7,138.0,137.6,140.2,138.6
7,Phoenix,139.0,130.0,140.0,132.0,150.0,139.0
8,Toronto,139.1,131.3,126.0,136.5,141.2,139.1
9,Denver,139.9,146.0,148.0,137.8,141.9,139.9
10,Dallas,140.2,132.0,128.0,141.3,137.7,140.2
11,Minnesota,140.5,139.0,144.0,137.1,143.6,140.5
12,Cleveland,141.6,133.3,138.0,138.6,145.8,141.6
13,Atlanta,141.7,139.0,162.0,141.6,141.8,141.7
14,LA Lakers,141.7,144.7,142.0,145.1,139.3,141.7
15,New York,141.8,138.0,119.0,139.6,144.7,141.8
16,Golden State,141.9,149.0,149.0,134.9,146.1,141.9
17,Memphis,143.8,130.7,157.0,142.0,146.0,143.8
18,LA Clippers,145.4,150.7,164.0,143.3,147.2,145.4
19,Milwaukee,145.9,150.7,139.0,147.7,143.1,145.9
20,Philadelphia,146.1,161.7,182.0,146.4,145.6,146.1
21,Miami,146.3,134.0,124.0,144.2,148.4,146.3
22,Brooklyn,148.5,139.7,141.0,152.5,145.0,148.5
23,Portland,148.6,144.0,125.0,144.6,151.2,148.6
24,Indiana,148.8,146.7,146.0,147.4,150.1,148.8
25,Charlotte,149.5,155.0,145.0,143.5,154.8,149.5
26,New Orleans,150.2,150.0,159.0,149.7,150.8,150.2
27,Chicago,152.1,167.3,171.0,150.4,153.6,152.1
28,Sacramento,152.8,154.3,133.0,151.4,154.0,152.8
29,Utah,155.6,159.7,168.0,160.3,150.4,155.6
30,Washington,158.1,156.3,146.0,159.6,157.0,158.1
