Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,38.3,40.7,40.0,39.0,37.8,38.3
2,San Antonio,41.5,46.7,44.0,40.8,42.7,41.5
3,Boston,41.8,44.0,52.0,42.7,40.8,41.8
4,Detroit,43.9,45.3,44.0,48.3,40.0,43.9
5,New York,44.9,41.3,30.0,42.9,47.4,44.9
6,Houston,45.6,38.0,30.0,49.7,42.0,45.6
7,LA Clippers,47.6,48.7,62.0,46.5,48.4,47.6
8,Minnesota,47.6,52.0,58.0,49.0,46.4,47.6
9,Cleveland,48.4,48.7,48.0,48.9,47.8,48.4
10,LA Lakers,49.1,53.3,50.0,50.6,48.0,49.1
11,Milwaukee,49.2,43.3,32.0,48.7,50.0,49.2
12,Toronto,49.7,43.3,42.0,50.0,49.4,49.7
13,Denver,49.9,52.7,46.0,46.5,52.9,49.9
14,Memphis,50.4,44.0,46.0,53.4,46.8,50.4
15,Phoenix,50.7,48.0,54.0,49.1,53.1,50.7
16,Portland,50.9,45.3,36.0,45.7,54.2,50.9
17,Utah,51.2,53.3,56.0,50.4,52.0,51.2
18,New Orleans,51.3,42.0,44.0,51.8,50.8,51.3
19,Atlanta,51.5,49.3,48.0,55.1,49.3,51.5
20,Philadelphia,51.9,66.7,80.0,50.6,53.7,51.9
21,Miami,51.9,51.3,52.0,52.4,51.3,51.9
22,Orlando,52.1,55.3,56.0,48.4,56.2,52.1
22,Golden State,52.1,53.3,66.0,49.1,53.8,52.1
24,Charlotte,52.7,52.7,66.0,51.8,53.6,52.7
25,Brooklyn,53.3,49.3,52.0,56.5,50.4,53.3
26,Sacramento,54.8,52.7,48.0,52.8,56.4,54.8
27,Dallas,55.5,60.0,64.0,54.5,57.7,55.5
28,Indiana,55.6,54.0,58.0,54.5,56.7,55.6
28,Washington,55.6,58.7,56.0,56.9,54.8,55.6
30,Chicago,56.6,62.7,78.0,55.8,57.3,56.6
