Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Orlando,73.6,69.7,66.0,73.2,74.1,73.6
2,LA Lakers,73.9,73.0,63.0,71.7,75.5,73.9
3,Houston,75.0,71.0,62.0,81.0,69.8,75.0
4,Detroit,75.1,69.3,65.0,76.3,74.0,75.1
5,San Antonio,75.3,85.0,80.0,73.9,77.7,75.3
6,Denver,75.4,76.0,80.0,76.0,74.8,75.4
7,Charlotte,75.9,79.7,77.0,74.5,77.1,75.9
8,Toronto,76.7,68.7,67.0,75.9,77.3,76.7
9,New York,77.2,77.7,78.0,76.4,78.1,77.2
10,Phoenix,77.3,73.3,76.0,74.5,81.6,77.3
11,LA Clippers,78.1,74.0,76.0,74.8,80.7,78.1
12,Okla City,78.1,74.7,72.0,76.1,79.7,78.1
13,Portland,79.7,75.3,69.0,76.3,81.9,79.7
14,Minnesota,79.9,80.0,85.0,79.3,80.6,79.9
15,Atlanta,80.2,79.3,78.0,79.6,80.6,80.2
16,Golden State,80.4,91.7,90.0,81.4,79.8,80.4
17,Memphis,80.7,72.7,86.0,79.6,82.1,80.7
18,Philadelphia,81.0,91.0,95.0,81.5,80.3,81.0
19,Boston,81.2,80.7,89.0,81.9,80.4,81.2
20,Utah,82.6,82.0,94.0,83.8,81.4,82.6
21,Cleveland,83.2,77.0,91.0,81.3,85.8,83.2
22,Milwaukee,83.5,80.7,81.0,80.5,88.3,83.5
23,New Orleans,83.6,76.7,70.0,86.0,80.6,83.6
24,Chicago,83.8,96.7,98.0,80.6,86.7,83.8
25,Sacramento,84.0,89.3,82.0,83.5,84.4,84.0
26,Brooklyn,85.1,74.3,79.0,86.0,84.2,85.1
27,Indiana,85.1,86.7,82.0,83.8,86.3,85.1
28,Dallas,86.5,85.0,83.0,87.9,83.3,86.5
29,Miami,87.3,82.3,83.0,89.9,84.8,87.3
30,Washington,88.8,89.0,87.0,90.7,87.4,88.8
