Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Dallas,36.5%,30.7%,28.7%,36.9%,35.6%,36.5%
2,Orlando,36.7%,38.2%,30.5%,39.9%,33.2%,36.7%
3,Chicago,37.3%,36.3%,33.7%,35.8%,38.6%,37.3%
4,Charlotte,39.0%,42.1%,34.1%,39.7%,38.4%,39.0%
5,Cleveland,39.3%,38.4%,40.0%,35.4%,44.2%,39.3%
6,Minnesota,39.4%,33.5%,26.8%,36.9%,41.7%,39.4%
7,Portland,39.9%,45.7%,43.0%,39.5%,40.1%,39.9%
8,Indiana,40.0%,37.5%,29.8%,40.5%,39.5%,40.0%
9,Golden State,40.1%,41.0%,36.4%,41.6%,39.2%,40.1%
10,Philadelphia,40.5%,35.1%,33.7%,38.9%,42.7%,40.5%
11,Brooklyn,40.5%,37.8%,39.8%,41.9%,39.3%,40.5%
12,Washington,41.0%,41.4%,45.3%,40.7%,41.1%,41.0%
13,Phoenix,41.3%,40.6%,35.2%,39.3%,44.5%,41.3%
14,San Antonio,41.5%,39.6%,39.2%,44.6%,36.3%,41.5%
15,Milwaukee,42.0%,49.6%,54.4%,42.3%,41.5%,42.0%
16,Atlanta,42.1%,42.9%,45.2%,39.1%,43.8%,42.1%
17,Denver,42.1%,40.8%,50.5%,42.7%,41.5%,42.1%
18,Sacramento,42.5%,46.2%,43.3%,42.9%,42.2%,42.5%
19,Boston,42.9%,41.3%,38.0%,42.7%,43.3%,42.9%
20,Detroit,43.0%,46.6%,37.8%,41.4%,44.4%,43.0%
21,LA Clippers,43.0%,42.5%,33.3%,42.9%,43.1%,43.0%
22,Toronto,43.3%,49.6%,55.2%,44.7%,42.2%,43.3%
23,Memphis,43.8%,42.7%,47.3%,40.4%,48.0%,43.8%
24,Houston,43.8%,44.3%,46.3%,41.4%,45.9%,43.8%
25,LA Lakers,44.2%,44.9%,43.2%,44.5%,43.9%,44.2%
26,Okla City,44.3%,44.0%,51.1%,43.4%,44.9%,44.3%
27,New York,46.0%,48.6%,55.2%,47.3%,44.4%,46.0%
28,Miami,46.0%,43.5%,41.2%,47.1%,44.9%,46.0%
29,Utah,46.1%,46.5%,50.0%,47.0%,45.1%,46.1%
30,New Orleans,48.3%,54.3%,61.0%,49.0%,47.4%,48.3%
