Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,0.056,0.0,0.0,0.0,0.1,0.056
2,Detroit,0.118,0.0,0.0,0.125,0.111,0.118
3,Denver,0.235,0.333,0.0,0.25,0.222,0.235
3,LA Lakers,0.235,0.0,0.0,0.286,0.2,0.235
5,Houston,0.267,0.333,0.0,0.286,0.25,0.267
6,Toronto,0.278,0.0,0.0,0.25,0.3,0.278
7,San Antonio,0.313,0.333,1.0,0.2,0.5,0.313
8,Miami,0.333,0.0,0.0,0.111,0.556,0.333
9,Cleveland,0.368,0.333,1.0,0.273,0.5,0.368
10,New York,0.375,0.333,0.0,0.111,0.714,0.375
11,Phoenix,0.389,0.333,1.0,0.273,0.571,0.389
12,Minnesota,0.412,0.667,1.0,0.375,0.444,0.412
13,Atlanta,0.421,0.333,1.0,0.571,0.333,0.421
13,Orlando,0.421,0.333,0.0,0.3,0.556,0.421
15,Boston,0.471,0.333,0.0,0.444,0.5,0.471
15,Philadelphia,0.471,0.667,1.0,0.5,0.429,0.471
15,Chicago,0.471,0.667,1.0,0.25,0.667,0.471
18,Golden State,0.474,0.667,0.0,0.143,0.667,0.474
19,Portland,0.556,0.333,0.0,0.571,0.546,0.556
19,Milwaukee,0.556,1.0,1.0,0.546,0.571,0.556
21,Memphis,0.667,0.333,1.0,0.6,0.75,0.667
22,Utah,0.706,1.0,1.0,0.556,0.875,0.706
23,Sacramento,0.722,0.333,0.0,0.625,0.8,0.722
23,LA Clippers,0.722,0.667,1.0,0.625,0.8,0.722
25,Dallas,0.737,0.667,1.0,0.692,0.833,0.737
26,Charlotte,0.765,1.0,1.0,0.625,0.889,0.765
27,Brooklyn,0.824,0.667,1.0,1.0,0.667,0.824
28,New Orleans,0.833,0.667,0.0,0.8,0.875,0.833
29,Indiana,0.882,0.667,1.0,0.75,1.0,0.882
29,Washington,0.882,0.667,0.0,0.857,0.9,0.882
