Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,2.7,0.0,0.0,2.6,2.8,2.7
2,Houston,2.3,0.0,0.0,2.1,2.5,2.3
3,Utah,2.2,0.0,0.0,4.1,0.0,2.2
4,Philadelphia,1.8,5.7,0.0,0.0,4.3,1.8
5,Dallas,1.7,0.0,0.0,2.5,0.0,1.7
6,Milwaukee,1.4,2.7,0.0,2.4,0.0,1.4
7,Indiana,1.3,0.0,0.0,2.8,0.0,1.3
8,Chicago,1.2,0.0,0.0,0.0,2.2,1.2
9,LA Clippers,1.1,0.0,0.0,0.0,1.9,1.1
10,Washington,0.9,0.0,0.0,1.1,0.8,0.9
11,Golden State,0.9,0.0,0.0,2.4,0.0,0.9
12,Sacramento,0.9,5.3,16.0,2.0,0.0,0.9
13,Portland,0.8,0.0,0.0,0.0,1.4,0.8
14,San Antonio,0.8,0.0,0.0,0.0,2.2,0.8
15,Miami,0.7,0.0,0.0,1.3,0.0,0.7
16,Minnesota,0.6,3.7,11.0,0.0,1.2,0.6
16,Denver,0.6,0.0,0.0,0.0,1.2,0.6
18,Detroit,0.6,0.0,0.0,1.3,0.0,0.6
19,Orlando,0.6,0.0,0.0,0.0,1.2,0.6
20,Phoenix,0.6,0.0,0.0,0.0,1.4,0.6
21,Cleveland,0.5,0.0,0.0,0.0,1.3,0.5
22,New Orleans,0.5,0.0,0.0,0.9,0.0,0.5
23,Charlotte,0.3,0.0,0.0,0.0,0.6,0.3
24,Atlanta,0.0,0.0,0.0,0.0,0.0,0.0
24,Boston,0.0,0.0,0.0,0.0,0.0,0.0
24,New York,0.0,0.0,0.0,0.0,0.0,0.0
24,Brooklyn,0.0,0.0,0.0,0.0,0.0,0.0
24,Toronto,0.0,0.0,0.0,0.0,0.0,0.0
24,Memphis,0.0,0.0,0.0,0.0,0.0,0.0
24,LA Lakers,0.0,0.0,0.0,0.0,0.0,0.0
