Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Detroit,54.4%,54.4%,54.1%,52.4%,56.1%,54.4%
2,Sacramento,54.0%,58.1%,59.8%,49.7%,57.4%,54.0%
3,Toronto,53.0%,49.9%,61.8%,49.9%,55.4%,53.0%
4,LA Lakers,52.8%,54.3%,54.8%,54.4%,51.6%,52.8%
5,New Orleans,52.0%,57.3%,55.9%,53.4%,50.2%,52.0%
6,Denver,51.6%,46.7%,38.4%,53.4%,49.9%,51.6%
7,Houston,51.5%,52.8%,52.6%,51.0%,51.9%,51.5%
8,Miami,51.2%,56.9%,69.8%,52.9%,49.6%,51.2%
9,Dallas,50.4%,46.2%,51.0%,48.9%,53.8%,50.4%
10,Atlanta,50.2%,51.0%,49.6%,48.4%,51.3%,50.2%
11,Orlando,50.1%,52.2%,56.9%,49.7%,50.5%,50.1%
12,San Antonio,49.5%,45.4%,43.1%,47.1%,53.6%,49.5%
13,Washington,49.3%,46.4%,43.9%,50.3%,48.6%,49.3%
14,Okla City,48.8%,47.0%,49.2%,48.1%,49.3%,48.8%
15,Minnesota,48.6%,48.1%,48.2%,49.8%,47.5%,48.6%
16,Indiana,48.1%,46.5%,44.4%,47.7%,48.5%,48.1%
17,Boston,48.0%,48.9%,55.1%,49.6%,46.0%,48.0%
18,Milwaukee,47.8%,47.4%,48.5%,47.8%,47.8%,47.8%
19,Philadelphia,47.6%,47.8%,54.4%,48.5%,46.4%,47.6%
20,Memphis,47.0%,50.3%,47.0%,44.4%,50.6%,47.0%
21,LA Clippers,47.0%,48.0%,49.2%,46.7%,47.1%,47.0%
22,Chicago,46.9%,43.6%,35.4%,48.2%,45.8%,46.9%
23,Portland,46.8%,39.2%,31.3%,47.8%,46.2%,46.8%
24,Utah,46.5%,50.7%,61.5%,42.9%,51.5%,46.5%
25,Phoenix,45.9%,46.7%,43.5%,46.9%,44.5%,45.9%
26,New York,45.7%,53.0%,58.4%,42.4%,50.3%,45.7%
27,Charlotte,45.7%,49.4%,45.5%,45.2%,46.1%,45.7%
28,Cleveland,44.5%,47.2%,44.4%,46.3%,42.1%,44.5%
29,Brooklyn,43.5%,44.7%,38.0%,43.5%,43.5%,43.5%
30,Golden State,40.4%,43.1%,47.8%,42.6%,39.1%,40.4%
