Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Miami,209.9,219.3,189.0,209.2,210.6,209.9
2,Houston,208.9,189.7,190.0,209.6,208.4,208.9
3,Denver,207.5,202.3,211.0,213.4,202.3,207.5
4,Chicago,205.4,199.3,200.0,206.3,204.7,205.4
5,Okla City,204.6,205.0,212.0,202.1,206.5,204.6
6,New York,203.8,196.0,192.0,208.9,197.1,203.8
7,Utah,203.4,195.0,207.0,217.8,187.3,203.4
8,Detroit,202.5,200.3,204.0,206.1,199.2,202.5
9,Toronto,201.6,208.0,201.0,200.0,202.9,201.6
10,Cleveland,201.4,190.7,166.0,197.8,206.4,201.4
11,Portland,200.7,194.3,196.0,201.6,200.1,200.7
12,Orlando,200.3,220.3,239.0,195.0,206.1,200.3
13,Minnesota,198.8,195.0,194.0,201.6,196.3,198.8
14,San Antonio,198.8,190.7,177.0,200.5,196.0,198.8
15,Charlotte,197.9,194.0,190.0,193.3,202.0,197.9
16,Philadelphia,197.6,193.7,169.0,194.4,202.3,197.6
17,Atlanta,197.4,194.0,200.0,188.7,202.4,197.4
18,Phoenix,196.1,180.0,154.0,195.4,197.3,196.1
19,Memphis,195.7,211.0,195.0,200.6,189.6,195.7
20,LA Lakers,194.9,207.0,211.0,201.9,190.1,194.9
21,Boston,194.8,193.7,210.0,197.0,192.4,194.8
22,Golden State,193.8,202.7,228.0,202.9,188.5,193.8
23,Milwaukee,192.9,184.7,172.0,194.4,190.7,192.9
24,Washington,191.1,198.7,210.0,189.7,192.0,191.1
25,Dallas,190.7,183.3,185.0,194.4,182.7,190.7
26,Indiana,189.8,190.0,182.0,197.1,183.2,189.8
27,Sacramento,186.9,188.3,202.0,185.8,187.9,186.9
28,New Orleans,186.8,204.0,241.0,189.8,183.0,186.8
29,LA Clippers,184.7,189.0,181.0,187.6,182.4,184.7
30,Brooklyn,184.1,185.0,178.0,181.9,186.1,184.1
