Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Detroit,65.1,67.3,66.0,63.3,66.7,65.1
2,Denver,63.9,56.0,48.0,67.0,61.1,63.9
3,Toronto,63.8,61.3,68.0,60.0,66.8,63.8
4,Miami,63.4,71.3,74.0,65.1,61.8,63.4
5,Houston,62.9,59.3,60.0,62.6,63.3,62.9
6,LA Lakers,62.5,69.3,74.0,67.4,59.0,62.5
7,Sacramento,60.7,66.0,70.0,55.3,65.0,60.7
8,Orlando,59.9,70.7,82.0,57.8,62.2,59.9
9,Okla City,59.8,59.3,60.0,58.8,60.6,59.8
10,Atlanta,58.8,58.0,56.0,54.6,61.3,58.8
11,San Antonio,58.5,52.7,44.0,56.0,62.7,58.5
12,Minnesota,58.1,55.3,54.0,59.5,56.9,58.1
13,New Orleans,57.4,68.0,80.0,59.6,54.8,57.4
14,Chicago,56.9,52.0,46.0,58.0,56.0,56.9
15,Washington,56.2,56.0,58.0,57.4,55.4,56.2
16,Portland,55.9,44.0,36.0,56.6,55.5,55.9
17,Philadelphia,55.9,54.7,56.0,55.8,56.0,55.9
18,Milwaukee,55.7,52.7,50.0,57.5,52.9,55.7
19,Dallas,55.2,48.7,52.0,54.8,56.0,55.2
20,Boston,55.1,58.0,76.0,59.3,50.3,55.1
21,New York,55.0,61.3,66.0,52.9,57.7,55.0
22,Utah,54.9,56.7,72.0,55.1,54.8,54.9
23,Phoenix,53.8,49.3,40.0,54.9,52.0,53.8
24,Indiana,53.2,54.7,52.0,55.5,51.1,53.2
25,Charlotte,53.1,56.7,50.0,51.3,54.7,53.1
26,Cleveland,52.8,53.3,44.0,53.8,51.5,52.8
27,Memphis,52.8,59.3,54.0,51.8,54.0,52.8
28,LA Clippers,52.7,56.7,58.0,53.5,52.0,52.7
29,Brooklyn,47.5,48.0,38.0,47.0,48.0,47.5
30,Golden State,46.8,50.7,64.0,52.0,43.8,46.8
