Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Detroit,59.1,60.0,58.0,56.0,61.8,59.1
2,Miami,58.3,64.0,64.0,60.0,56.7,58.3
3,Toronto,54.2,50.7,48.0,50.0,57.6,54.2
4,Chicago,54.0,51.3,44.0,56.3,52.0,54.0
4,Denver,54.0,46.7,46.0,58.3,50.2,54.0
6,Orlando,53.8,65.3,80.0,52.2,55.6,53.8
7,LA Lakers,53.5,63.3,62.0,58.9,49.8,53.5
8,Houston,53.3,52.0,54.0,55.1,51.8,53.3
9,New Orleans,53.2,64.7,78.0,54.6,51.5,53.2
10,Atlanta,52.9,54.7,56.0,50.9,54.2,52.9
11,Minnesota,52.6,52.0,48.0,54.8,50.7,52.6
12,Portland,52.1,39.3,32.0,53.4,51.3,52.1
12,Okla City,52.1,53.3,58.0,50.5,53.4,52.1
14,San Antonio,51.0,48.7,38.0,48.6,55.0,51.0
15,Philadelphia,49.6,50.0,56.0,50.0,49.1,49.6
16,Charlotte,49.5,48.7,48.0,47.0,51.8,49.5
17,Utah,49.2,51.3,66.0,49.6,48.8,49.2
18,Sacramento,48.9,53.3,58.0,46.0,51.2,48.9
19,Dallas,48.5,46.0,52.0,48.2,49.3,48.5
20,LA Clippers,47.9,51.3,50.0,49.0,47.0,47.9
21,Washington,47.8,48.7,48.0,48.0,47.6,47.8
22,Milwaukee,47.7,42.0,36.0,48.9,45.7,47.7
23,New York,47.4,47.3,52.0,47.8,46.9,47.4
24,Memphis,46.4,51.3,46.0,45.4,47.8,46.4
25,Cleveland,46.0,44.0,42.0,46.0,46.0,46.0
26,Indiana,45.9,43.3,44.0,47.3,44.7,45.9
27,Phoenix,44.4,40.7,30.0,43.8,45.4,44.4
28,Boston,43.1,48.7,64.0,48.0,37.5,43.1
29,Golden State,41.1,46.0,56.0,47.1,37.5,41.1
30,Brooklyn,40.9,39.3,30.0,39.8,42.0,40.9
