Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Miami,123.9,125.3,106.0,123.1,124.7,123.9
2,Denver,123.8,120.0,125.0,125.4,122.4,123.8
3,Okla City,122.6,126.3,122.0,122.3,122.9,122.6
4,Houston,122.3,112.3,114.0,122.7,121.9,122.3
5,Chicago,121.3,119.3,130.0,120.3,122.2,121.3
6,Toronto,120.4,123.0,110.0,120.1,120.6,120.4
7,New York,120.3,115.7,113.0,124.7,114.7,120.3
8,Minnesota,119.6,115.0,112.0,119.5,119.8,119.6
8,Detroit,119.6,123.7,122.0,120.6,118.8,119.6
10,Orlando,119.6,135.3,144.0,116.3,123.3,119.6
11,Portland,119.3,112.3,115.0,118.4,119.9,119.3
12,Cleveland,118.8,113.0,99.0,116.3,122.3,118.8
13,LA Lakers,118.3,127.7,135.0,124.0,114.3,118.3
14,San Antonio,118.3,116.0,102.0,119.0,117.0,118.3
15,Utah,118.1,111.7,117.0,128.4,106.4,118.1
16,Philadelphia,117.4,114.3,103.0,115.1,120.7,117.4
17,Atlanta,117.1,113.7,113.0,112.7,119.7,117.1
18,Phoenix,117.1,105.7,92.0,117.2,116.9,117.1
19,Milwaukee,116.5,111.0,103.0,120.3,110.6,116.5
20,Charlotte,116.2,114.7,110.0,113.5,118.6,116.2
21,Golden State,115.8,117.7,134.0,122.1,112.2,115.8
22,Boston,114.6,118.7,138.0,119.6,109.1,114.6
23,Washington,114.1,120.7,132.0,114.1,114.0,114.1
24,Memphis,112.3,118.0,115.0,116.7,106.8,112.3
24,Sacramento,112.3,113.7,117.0,111.1,113.2,112.3
26,LA Clippers,112.2,118.0,118.0,114.5,110.3,112.2
27,New Orleans,110.6,118.7,143.0,111.7,109.1,110.6
28,Indiana,110.5,117.7,117.0,116.3,105.3,110.5
29,Dallas,109.5,105.3,102.0,112.0,104.2,109.5
30,Brooklyn,109.2,107.3,100.0,108.1,110.2,109.2
