Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,86.7,77.3,76.0,86.9,86.5,86.7
2,Miami,86.0,94.0,83.0,86.1,85.9,86.0
3,Utah,85.4,83.3,90.0,89.3,80.9,85.4
4,Chicago,84.1,80.0,70.0,86.0,82.4,84.1
5,Denver,83.7,82.3,86.0,88.0,79.9,83.7
6,Memphis,83.4,93.0,80.0,83.9,82.9,83.4
7,New York,83.4,80.3,79.0,84.2,82.4,83.4
8,Detroit,82.8,76.7,82.0,85.5,80.4,82.8
9,Cleveland,82.6,77.7,67.0,81.5,84.1,82.6
10,Okla City,81.9,78.7,90.0,79.9,83.6,81.9
11,Charlotte,81.7,79.3,80.0,79.8,83.4,81.7
12,Portland,81.3,82.0,81.0,83.1,80.2,81.3
13,Toronto,81.2,85.0,91.0,79.9,82.3,81.2
14,Dallas,81.2,78.0,83.0,82.4,78.5,81.2
15,Orlando,80.6,85.0,95.0,78.7,82.8,80.6
16,San Antonio,80.6,74.7,75.0,81.5,79.0,80.6
17,Atlanta,80.3,80.3,87.0,76.0,82.8,80.3
18,Philadelphia,80.2,79.3,66.0,79.3,81.6,80.2
19,Boston,80.2,75.0,72.0,77.4,83.3,80.2
20,Indiana,79.3,72.3,65.0,80.9,77.9,79.3
21,Minnesota,79.2,80.0,82.0,82.1,76.6,79.2
22,Phoenix,79.1,74.3,62.0,78.2,80.4,79.1
23,Golden State,77.9,85.0,94.0,80.7,76.3,77.9
24,Washington,77.0,78.0,78.0,75.6,78.0,77.0
25,LA Lakers,76.6,79.3,76.0,77.9,75.8,76.6
26,Milwaukee,76.4,73.7,69.0,74.1,80.1,76.4
27,New Orleans,76.2,85.3,98.0,78.1,73.9,76.2
28,Brooklyn,74.9,77.7,78.0,73.8,75.9,74.9
29,Sacramento,74.7,74.7,85.0,74.6,74.7,74.7
30,LA Clippers,72.6,71.0,63.0,73.1,72.1,72.6
