Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,16.4,18.3,17.0,18.5,14.8,16.4
2,Detroit,16.2,14.7,12.0,16.3,16.1,16.2
3,Phoenix,15.1,14.7,13.0,14.5,16.1,15.1
4,Cleveland,14.8,14.0,15.0,14.0,15.9,14.8
5,Golden State,14.7,15.7,16.0,14.9,14.6,14.7
5,Atlanta,14.7,11.3,10.0,14.4,14.8,14.7
7,Minnesota,14.6,16.3,13.0,16.0,13.4,14.6
8,Dallas,14.5,14.7,13.0,14.9,13.7,14.5
9,Houston,14.3,13.3,17.0,14.4,14.3,14.3
10,Portland,13.8,13.7,16.0,15.0,13.1,13.8
11,Philadelphia,13.8,14.0,11.0,13.2,14.7,13.8
12,Miami,13.7,14.7,15.0,14.1,13.3,13.7
13,San Antonio,13.6,11.7,8.0,13.5,13.8,13.6
14,New York,13.4,13.0,12.0,12.9,14.1,13.4
15,Orlando,13.3,9.3,14.0,12.6,14.0,13.3
16,Chicago,13.2,11.7,7.0,13.4,13.1,13.2
16,Boston,13.2,11.0,14.0,12.6,14.0,13.2
18,Toronto,13.2,14.0,9.0,13.1,13.2,13.2
19,LA Clippers,13.1,9.0,9.0,14.9,11.7,13.1
20,Washington,12.9,15.7,21.0,14.0,12.1,12.9
21,New Orleans,12.8,16.0,18.0,12.8,12.9,12.8
22,LA Lakers,12.8,11.3,13.0,12.3,13.2,12.8
23,Milwaukee,12.7,13.0,15.0,12.7,12.7,12.7
24,Sacramento,11.8,11.0,12.0,11.3,12.3,11.8
25,Memphis,11.7,11.3,10.0,12.2,11.0,11.7
26,Indiana,11.6,14.7,15.0,11.0,12.2,11.6
26,Utah,11.6,11.7,13.0,13.0,10.1,11.6
28,Charlotte,11.4,7.3,6.0,10.1,12.6,11.4
29,Denver,11.3,9.0,8.0,11.3,11.3,11.3
30,Brooklyn,10.6,9.7,6.0,10.3,10.9,10.6
