Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Okla City,9.3%,9.4%,7.7%,10.3%,8.6%,9.3%
2,Phoenix,9.2%,9.2%,8.1%,8.5%,10.2%,9.2%
3,Golden State,8.8%,9.0%,9.1%,9.1%,8.6%,8.8%
4,Detroit,8.7%,9.1%,7.2%,8.4%,8.9%,8.7%
5,Houston,8.3%,9.1%,11.7%,8.8%,7.9%,8.3%
6,LA Lakers,8.3%,7.3%,8.4%,8.0%,8.5%,8.3%
7,New Orleans,8.3%,9.6%,11.1%,8.0%,8.6%,8.3%
8,New York,8.0%,5.7%,5.5%,8.0%,7.9%,8.0%
9,Minnesota,8.0%,10.4%,7.4%,8.6%,7.4%,8.0%
10,Atlanta,7.9%,4.8%,3.6%,7.6%,8.1%,7.9%
11,Toronto,7.8%,10.0%,7.5%,7.7%,7.9%,7.8%
12,Cleveland,7.8%,7.7%,9.7%,6.9%,8.9%,7.8%
13,Portland,7.7%,7.2%,7.5%,8.6%,7.1%,7.7%
14,Miami,7.6%,7.7%,6.6%,7.4%,7.9%,7.6%
15,San Antonio,7.5%,7.0%,3.6%,7.8%,7.0%,7.5%
16,Sacramento,7.4%,6.2%,7.2%,6.8%,7.9%,7.4%
17,LA Clippers,7.4%,6.4%,6.3%,8.2%,6.7%,7.4%
18,Boston,7.1%,5.8%,5.1%,7.3%,6.9%,7.1%
19,Orlando,7.1%,5.4%,8.6%,7.0%,7.2%,7.1%
20,Milwaukee,7.0%,7.5%,9.0%,7.0%,6.9%,7.0%
21,Dallas,6.8%,5.9%,6.7%,6.6%,7.3%,6.8%
22,Utah,6.7%,7.0%,5.7%,7.0%,6.4%,6.7%
23,Memphis,6.5%,6.7%,5.3%,6.4%,6.7%,6.5%
24,Denver,6.5%,4.2%,4.6%,6.7%,6.3%,6.5%
25,Philadelphia,6.4%,6.3%,5.7%,5.8%,7.1%,6.4%
26,Chicago,6.3%,3.7%,3.0%,6.0%,6.6%,6.3%
27,Brooklyn,6.2%,4.7%,4.8%,6.8%,5.7%,6.2%
28,Charlotte,5.9%,4.8%,3.6%,4.7%,7.0%,5.9%
29,Washington,5.9%,8.6%,10.9%,6.3%,5.6%,5.9%
30,Indiana,5.7%,7.2%,9.2%,5.6%,5.8%,5.7%
