Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Golden State,50.5%,51.1%,50.0%,50.5%,50.5%,50.5%
2,Cleveland,49.0%,48.7%,55.2%,48.2%,49.9%,49.0%
3,Brooklyn,48.0%,47.1%,55.2%,48.1%,47.9%,48.0%
4,Boston,46.4%,43.1%,37.5%,46.1%,46.9%,46.4%
5,New York,46.0%,43.8%,39.8%,46.4%,45.5%,46.0%
6,Portland,45.2%,52.1%,54.4%,43.2%,46.5%,45.2%
7,Charlotte,45.2%,45.0%,51.2%,45.0%,45.4%,45.2%
8,Utah,44.7%,41.9%,36.4%,46.7%,42.3%,44.7%
9,Phoenix,44.4%,41.1%,46.3%,43.5%,45.8%,44.4%
10,Memphis,44.0%,46.5%,50.5%,46.9%,40.5%,44.0%
11,LA Clippers,43.5%,41.4%,43.2%,44.4%,42.8%,43.5%
12,Okla City,43.2%,43.4%,42.4%,47.4%,39.8%,43.2%
13,Chicago,42.9%,50.4%,61.0%,41.5%,44.2%,42.9%
14,Milwaukee,42.6%,44.3%,43.0%,42.8%,42.3%,42.6%
15,San Antonio,42.3%,45.5%,44.2%,44.2%,39.2%,42.3%
16,Minnesota,41.5%,42.2%,43.3%,40.3%,42.6%,41.5%
17,Atlanta,41.3%,43.5%,45.3%,41.7%,41.1%,41.3%
18,Philadelphia,40.5%,43.0%,30.5%,39.2%,42.3%,40.5%
19,Indiana,40.4%,41.6%,37.8%,41.3%,39.7%,40.4%
20,Washington,40.2%,43.2%,45.2%,39.1%,41.0%,40.2%
21,Dallas,40.1%,43.8%,41.2%,40.0%,40.4%,40.1%
22,LA Lakers,39.3%,38.5%,33.3%,38.5%,39.8%,39.3%
23,Denver,38.2%,42.1%,47.3%,38.6%,37.9%,38.2%
24,Miami,38.0%,33.2%,28.7%,36.8%,39.3%,38.0%
25,Orlando,37.9%,36.7%,33.7%,37.8%,38.0%,37.9%
26,New Orleans,37.1%,31.9%,33.7%,36.6%,37.7%,37.1%
27,Toronto,36.8%,36.6%,40.0%,37.6%,36.2%,36.8%
28,Detroit,35.3%,35.1%,29.8%,37.0%,33.6%,35.3%
29,Sacramento,35.0%,33.2%,26.8%,36.7%,33.6%,35.0%
30,Houston,33.3%,33.6%,35.2%,33.6%,33.0%,33.3%
