Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,54.7%,51.3%,49.5%,52.5%,56.9%,54.7%
2,Charlotte,54.3%,52.5%,54.5%,53.2%,55.2%,54.3%
3,Denver,52.5%,52.8%,53.5%,52.9%,52.2%,52.5%
4,San Antonio,52.4%,47.2%,52.3%,52.6%,52.0%,52.4%
5,Orlando,52.3%,54.5%,56.4%,52.9%,51.6%,52.3%
6,Detroit,51.9%,53.8%,57.4%,51.8%,51.9%,51.9%
7,LA Lakers,51.8%,53.4%,54.7%,53.0%,51.1%,51.8%
8,New York,51.8%,49.2%,46.4%,53.0%,50.3%,51.8%
9,Portland,51.6%,54.9%,54.8%,53.0%,50.8%,51.6%
10,Utah,51.5%,51.3%,49.2%,52.4%,50.4%,51.5%
11,Phoenix,50.7%,50.2%,50.5%,51.0%,50.2%,50.7%
12,Philadelphia,50.5%,47.7%,43.6%,50.0%,51.3%,50.5%
13,Memphis,50.5%,55.5%,46.5%,50.4%,50.6%,50.5%
14,Okla City,50.4%,48.3%,51.4%,48.6%,51.6%,50.4%
15,Toronto,50.0%,55.3%,61.2%,49.7%,50.2%,50.0%
16,Minnesota,49.9%,51.5%,51.3%,51.5%,48.5%,49.9%
17,Boston,49.8%,49.0%,43.4%,48.1%,51.5%,49.8%
18,Cleveland,49.6%,49.2%,38.8%,49.9%,49.3%,49.6%
19,Chicago,49.3%,45.0%,36.9%,52.6%,46.5%,49.3%
20,New Orleans,49.0%,56.0%,63.1%,48.4%,49.8%,49.0%
21,LA Clippers,48.9%,49.1%,45.3%,49.7%,48.3%,48.9%
22,Miami,48.6%,53.0%,50.0%,47.7%,49.6%,48.6%
23,Indiana,48.5%,43.4%,42.6%,49.1%,48.1%,48.5%
24,Golden State,48.5%,48.0%,50.8%,47.7%,49.0%,48.5%
25,Dallas,48.1%,47.2%,50.0%,48.0%,48.3%,48.1%
26,Atlanta,48.0%,47.9%,52.9%,47.2%,48.5%,48.0%
27,Brooklyn,47.2%,53.2%,53.6%,47.4%,47.0%,47.2%
28,Sacramento,46.9%,44.3%,48.7%,46.5%,47.2%,46.9%
29,Milwaukee,46.6%,47.1%,45.2%,46.5%,46.7%,46.6%
30,Washington,46.4%,45.7%,47.1%,45.5%,47.1%,46.4%
