Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,61.3,54.0,50.0,62.7,60.1,61.3
2,Dallas,57.3,54.3,61.0,58.2,55.3,57.3
3,Portland,56.1,57.7,57.0,57.6,55.1,56.1
4,Detroit,55.8,49.0,58.0,58.8,53.2,55.8
5,Miami,55.8,64.3,61.0,56.1,55.4,55.8
6,Utah,55.8,53.7,58.0,57.3,54.0,55.8
6,Indiana,55.8,46.0,43.0,56.3,55.3,55.8
8,Boston,55.6,49.0,43.0,51.4,60.4,55.6
9,Charlotte,55.5,53.3,54.0,53.1,57.7,55.5
10,Cleveland,55.5,50.0,40.0,54.9,56.4,55.5
11,Okla City,55.4,48.3,57.0,51.3,58.7,55.4
12,Memphis,54.9,59.3,47.0,54.9,54.9,54.9
13,Orlando,54.5,52.0,57.0,54.7,54.2,54.5
14,Denver,54.5,53.0,54.0,56.5,52.7,54.5
14,Philadelphia,54.5,52.7,44.0,53.5,55.9,54.5
14,Chicago,54.5,53.0,41.0,56.8,52.4,54.5
17,New York,54.3,52.7,51.0,55.6,52.6,54.3
18,San Antonio,53.8,50.0,58.0,52.6,55.8,53.8
19,Minnesota,53.5,57.7,61.0,56.4,50.9,53.5
20,Phoenix,53.1,53.3,51.0,53.4,52.7,53.1
20,New Orleans,53.1,60.7,70.0,54.4,51.5,53.1
22,Washington,51.0,48.3,48.0,50.3,51.5,51.0
23,Toronto,50.9,53.7,63.0,50.1,51.6,50.9
24,LA Lakers,50.6,51.7,47.0,51.0,50.4,50.6
25,Golden State,50.4,56.0,60.0,50.6,50.3,50.4
26,Brooklyn,50.3,53.3,59.0,49.6,50.9,50.3
27,Atlanta,49.7,49.3,54.0,47.9,50.8,49.7
28,Milwaukee,49.7,46.7,47.0,46.5,54.6,49.7
29,LA Clippers,48.6,45.3,39.0,46.9,49.9,48.6
30,Sacramento,48.4,47.0,58.0,48.5,48.3,48.4
