Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Boston,11.1,12.7,5.0,9.1,13.3,11.1
2,Okla City,12.9,14.7,14.0,13.0,12.8,12.9
3,New York,13.0,11.3,8.0,12.9,13.1,13.0
4,Denver,13.6,14.0,14.0,12.8,14.4,13.6
5,Toronto,13.9,13.3,16.0,13.5,14.2,13.9
5,Memphis,13.9,10.7,11.0,13.5,14.4,13.9
7,Sacramento,14.2,12.0,12.0,15.3,13.3,14.2
8,Indiana,14.2,14.0,13.0,14.0,14.3,14.2
9,Cleveland,14.3,13.3,12.0,14.5,13.9,14.3
10,Miami,14.3,12.3,14.0,14.1,14.4,14.3
11,Milwaukee,14.4,14.7,13.0,14.1,15.0,14.4
12,Orlando,14.7,11.3,12.0,16.0,13.2,14.7
13,Brooklyn,14.7,14.3,10.0,15.3,14.2,14.7
14,Atlanta,14.8,11.7,19.0,15.6,14.3,14.8
15,Chicago,14.8,15.0,17.0,14.0,15.6,14.8
16,Detroit,14.9,15.3,17.0,16.6,13.4,14.9
17,Philadelphia,15.0,16.7,21.0,14.8,15.3,15.0
18,Houston,15.1,15.0,16.0,12.6,17.4,15.1
19,New Orleans,15.3,15.0,14.0,15.6,14.9,15.3
20,Minnesota,15.3,16.0,16.0,15.8,14.9,15.3
21,LA Clippers,15.7,14.0,16.0,16.3,15.3,15.7
22,San Antonio,15.8,13.0,19.0,15.2,16.7,15.8
23,Charlotte,15.9,13.3,16.0,16.3,15.6,15.9
24,LA Lakers,16.0,14.0,11.0,15.3,16.5,16.0
25,Phoenix,16.3,18.3,21.0,16.5,16.0,16.3
26,Golden State,16.4,15.7,10.0,12.3,18.8,16.4
27,Portland,16.6,18.0,16.0,16.9,16.4,16.6
28,Washington,16.6,15.3,13.0,15.7,17.2,16.6
29,Dallas,16.9,15.3,16.0,17.2,16.2,16.9
30,Utah,17.1,18.7,14.0,17.6,16.6,17.1
