Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Boston,9.8%,11.7%,4.7%,8.0%,11.9%,9.8%
2,New York,11.1%,10.1%,7.7%,11.0%,11.3%,11.1%
3,Okla City,11.2%,13.1%,12.5%,11.4%,11.1%,11.2%
4,Indiana,11.8%,12.4%,11.8%,11.6%,11.9%,11.8%
5,Miami,11.8%,9.9%,11.7%,11.6%,12.0%,11.8%
6,Denver,11.9%,12.6%,12.4%,10.9%,12.8%,11.9%
7,Memphis,12.0%,9.3%,10.0%,11.6%,12.4%,12.0%
8,Cleveland,12.2%,12.1%,11.2%,12.7%,11.4%,12.2%
9,Toronto,12.2%,11.8%,14.2%,12.1%,12.3%,12.2%
10,Sacramento,12.4%,10.6%,9.9%,13.1%,11.8%,12.4%
11,Chicago,12.5%,12.4%,14.5%,11.9%,13.1%,12.5%
12,Orlando,12.7%,9.6%,9.7%,13.9%,11.2%,12.7%
13,Detroit,12.7%,13.9%,14.2%,13.5%,11.9%,12.7%
14,Houston,12.8%,13.2%,14.5%,10.6%,14.6%,12.8%
15,Philadelphia,12.8%,13.9%,18.0%,12.9%,12.7%,12.8%
16,Milwaukee,12.9%,13.4%,12.1%,12.6%,13.2%,12.9%
17,Atlanta,13.0%,10.4%,15.9%,13.6%,12.6%,13.0%
18,New Orleans,13.1%,12.5%,10.6%,13.3%,12.9%,13.1%
19,Brooklyn,13.1%,13.3%,9.2%,13.5%,12.8%,13.1%
20,Minnesota,13.2%,13.1%,12.8%,13.4%,12.9%,13.2%
21,Portland,13.5%,15.4%,14.4%,13.8%,13.4%,13.5%
22,Charlotte,13.7%,11.6%,14.7%,14.6%,13.0%,13.7%
23,San Antonio,13.8%,11.8%,16.8%,13.6%,14.2%,13.8%
24,Phoenix,14.0%,15.9%,18.8%,14.4%,13.4%,14.0%
25,Washington,14.2%,13.3%,11.7%,13.3%,14.8%,14.2%
26,Utah,14.2%,15.7%,11.6%,14.0%,14.3%,14.2%
27,LA Clippers,14.2%,12.8%,15.0%,14.9%,13.6%,14.2%
28,LA Lakers,14.2%,12.2%,9.8%,13.4%,14.8%,14.2%
29,Golden State,14.2%,13.0%,8.1%,10.9%,16.1%,14.2%
30,Dallas,14.3%,13.3%,13.3%,14.5%,13.9%,14.3%
