Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Boston,11.1%,13.0%,5.1%,9.1%,13.3%,11.1%
2,Okla City,12.3%,14.1%,13.9%,12.5%,12.2%,12.3%
3,New York,12.6%,11.3%,8.4%,12.5%,12.7%,12.6%
4,Miami,13.0%,11.3%,13.3%,12.7%,13.3%,13.0%
5,Denver,13.3%,14.1%,14.2%,12.2%,14.2%,13.3%
6,Indiana,13.3%,13.4%,12.3%,12.9%,13.7%,13.3%
7,Memphis,13.3%,10.7%,11.1%,12.9%,13.9%,13.3%
8,Toronto,13.4%,13.0%,15.6%,13.2%,13.5%,13.4%
9,Sacramento,13.5%,11.4%,10.9%,14.3%,12.8%,13.5%
10,Cleveland,13.5%,13.1%,11.7%,14.1%,12.8%,13.5%
11,Chicago,13.8%,13.5%,15.1%,13.2%,14.2%,13.8%
12,Milwaukee,13.9%,14.1%,13.1%,13.5%,14.4%,13.9%
13,Orlando,14.1%,11.0%,11.1%,15.4%,12.7%,14.1%
14,Atlanta,14.2%,11.5%,18.0%,15.0%,13.7%,14.2%
15,Detroit,14.2%,14.9%,16.1%,15.5%,13.1%,14.2%
16,Philadelphia,14.3%,15.3%,19.4%,14.3%,14.2%,14.3%
17,Brooklyn,14.6%,14.7%,10.5%,15.1%,14.1%,14.6%
18,Minnesota,14.6%,15.1%,14.6%,15.0%,14.3%,14.6%
19,Houston,14.8%,15.3%,16.2%,12.4%,16.9%,14.8%
20,New Orleans,14.8%,14.1%,12.4%,15.1%,14.5%,14.8%
21,San Antonio,15.3%,12.9%,19.2%,14.9%,16.0%,15.3%
22,Charlotte,15.4%,13.2%,16.0%,16.2%,14.7%,15.4%
23,Portland,15.5%,17.9%,16.1%,15.6%,15.4%,15.5%
24,LA Lakers,15.5%,13.3%,11.0%,14.7%,16.1%,15.5%
25,Washington,15.5%,14.5%,12.3%,14.5%,16.3%,15.5%
26,LA Clippers,15.6%,14.1%,16.0%,16.3%,15.0%,15.6%
27,Golden State,15.7%,14.8%,9.3%,11.9%,17.9%,15.7%
28,Dallas,15.7%,14.9%,15.2%,15.9%,15.3%,15.7%
29,Phoenix,15.7%,18.0%,21.3%,16.0%,15.3%,15.7%
30,Utah,16.0%,17.5%,13.1%,15.9%,16.0%,16.0%
