Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Houston,66.7%,66.4%,64.8%,66.4%,67.0%,66.7%
2,Sacramento,65.0%,66.8%,73.2%,63.3%,66.4%,65.0%
3,Detroit,64.7%,64.9%,70.2%,63.0%,66.4%,64.7%
4,Toronto,63.2%,63.4%,60.0%,62.4%,63.8%,63.2%
5,New Orleans,62.9%,68.1%,66.3%,63.4%,62.3%,62.9%
6,Orlando,62.1%,63.3%,66.3%,62.2%,62.0%,62.1%
7,Miami,62.0%,66.8%,71.3%,63.2%,60.7%,62.0%
8,Denver,61.8%,57.9%,52.7%,61.4%,62.1%,61.8%
9,LA Lakers,60.7%,61.5%,66.7%,61.5%,60.2%,60.7%
10,Dallas,59.9%,56.3%,58.8%,60.0%,59.6%,59.9%
11,Washington,59.8%,56.8%,54.8%,60.9%,59.0%,59.8%
12,Indiana,59.6%,58.4%,62.2%,58.7%,60.3%,59.6%
13,Philadelphia,59.5%,57.0%,69.5%,60.8%,57.7%,59.5%
14,Atlanta,58.7%,56.5%,54.7%,58.3%,58.9%,58.7%
15,Minnesota,58.5%,57.8%,56.7%,59.7%,57.4%,58.5%
16,San Antonio,57.7%,54.5%,55.8%,55.8%,60.8%,57.7%
17,Milwaukee,57.4%,55.7%,57.0%,57.2%,57.7%,57.4%
18,Chicago,57.1%,49.6%,39.0%,58.5%,55.8%,57.1%
19,Okla City,56.8%,56.6%,57.6%,52.6%,60.2%,56.8%
20,LA Clippers,56.5%,58.6%,56.8%,55.6%,57.2%,56.5%
21,Memphis,56.0%,53.5%,49.5%,53.1%,59.5%,56.0%
22,Phoenix,55.6%,58.9%,53.8%,56.5%,54.2%,55.6%
23,Utah,55.3%,58.1%,63.6%,53.3%,57.7%,55.3%
24,Charlotte,54.8%,55.0%,48.8%,55.0%,54.6%,54.8%
25,Portland,54.8%,47.9%,45.6%,56.8%,53.5%,54.8%
26,New York,54.0%,56.2%,60.2%,53.6%,54.5%,54.0%
27,Boston,53.6%,56.9%,62.5%,53.9%,53.1%,53.6%
28,Brooklyn,52.0%,52.9%,44.8%,51.9%,52.1%,52.0%
29,Cleveland,51.0%,51.3%,44.8%,51.8%,50.1%,51.0%
30,Golden State,49.5%,48.9%,50.0%,49.5%,49.5%,49.5%
