Rank,Team,2026,Last 3,Last 1,Home,Away,2025
1,Toronto,1.0,--,--,1.000,--,1.0
1,LA Lakers,1.0,1.000,--,1.000,1.000,1.0
3,Sacramento,0.833,1.000,1.000,1.000,0.667,0.833
3,Atlanta,0.833,1.000,--,1.000,0.800,0.833
3,Miami,0.833,1.000,1.000,1.000,0.500,0.833
6,Detroit,0.8,1.000,1.000,1.000,0.750,0.8
7,Chicago,0.75,1.000,--,0.800,0.667,0.75
8,Philadelphia,0.625,--,--,0.600,0.667,0.625
9,Utah,0.5,0.000,--,0.500,0.500,0.5
9,Boston,0.5,--,--,0.333,0.667,0.5
9,Okla City,0.5,--,--,1.000,0.000,0.5
9,Milwaukee,0.5,--,--,0.000,0.667,0.5
9,Cleveland,0.5,--,--,1.000,0.000,0.5
9,New York,0.5,1.000,--,--,0.500,0.5
9,Memphis,0.5,--,--,0.000,1.000,0.5
16,Portland,0.444,1.000,--,0.500,0.400,0.444
17,Dallas,0.429,0.500,0.000,0.500,0.000,0.429
18,Minnesota,0.4,0.000,0.000,0.500,0.333,0.4
18,Orlando,0.4,--,--,0.500,0.000,0.4
18,Golden State,0.4,0.000,--,0.000,0.500,0.4
18,San Antonio,0.4,--,--,0.000,0.667,0.4
18,Phoenix,0.4,1.000,--,0.500,0.000,0.4
18,New Orleans,0.4,0.000,--,0.500,0.333,0.4
24,Denver,0.25,0.500,--,0.000,0.500,0.25
24,Houston,0.25,0.000,--,0.333,0.000,0.25
26,LA Clippers,0.2,--,--,0.333,0.000,0.2
26,Indiana,0.2,0.000,0.000,0.333,0.000,0.2
28,Brooklyn,0.0,--,--,0.000,--,0.0
28,Charlotte,0.0,0.000,0.000,--,0.000,0.0
28,Washington,0.0,0.000,--,0.000,0.000,0.0
