OPPONENT_ABBREV,Primary_Pos,DVP_PTS,DVP_REB,DVP_AST,DVP_FG3M,DVP_PRA,DVP_PR,DVP_PA,DVP_RA,DVP_STL,DVP_BLK,DVP_TOV
ATL,C,13.24,10.26,2.58,0.51,26.09,14.15,10.0,7.51,0.91,1.5,2.5
ATL,PF,14.37,7.11,3.1,1.5,24.57,15.91,13.27,7.24,0.85,0.83,1.7
ATL,PG,16.89,5.81,6.63,2.19,29.33,16.94,17.45,9.12,1.66,0.38,3.28
ATL,SF,18.74,5.28,2.86,2.9,26.87,17.0,15.31,6.08,1.43,0.63,2.11
ATL,SG,16.17,3.79,2.98,2.39,22.93,14.97,14.5,4.94,1.68,0.21,1.92
BKN,C,17.0,10.17,2.19,1.16,29.36,17.33,12.61,7.67,1.09,1.68,1.85
BKN,PF,15.24,8.32,3.61,1.81,27.17,15.52,12.69,8.14,0.88,0.53,1.53
BKN,PG,16.34,3.95,7.12,2.45,27.41,12.64,14.09,6.55,1.78,0.19,1.99
BKN,SF,18.41,6.21,3.32,1.84,27.93,17.05,15.73,6.62,1.3,0.36,1.54
BKN,SG,16.06,4.35,3.87,2.53,24.28,13.79,14.03,5.24,1.29,0.44,1.66
BOS,C,16.13,10.85,3.06,1.02,30.04,16.11,11.76,8.08,0.81,1.66,2.17
BOS,PF,13.07,5.86,2.32,1.86,21.25,12.48,10.23,5.16,0.37,1.19,2.03
BOS,PG,15.9,3.89,6.08,2.5,25.87,16.27,17.73,7.38,1.14,0.41,2.68
BOS,SF,16.13,6.59,2.35,1.94,25.07,17.14,14.14,6.6,0.78,0.55,1.83
BOS,SG,10.75,4.56,3.95,1.58,19.26,10.47,10.28,5.56,0.61,0.28,1.77
CHA,C,16.78,8.11,2.63,1.75,27.52,15.6,12.31,6.71,0.75,1.51,1.89
CHA,PF,18.42,6.55,3.38,2.0,28.35,15.62,14.0,6.85,0.88,0.82,2.47
CHA,PG,17.93,4.36,7.25,2.46,29.55,17.43,19.21,8.29,1.41,0.3,2.37
CHA,SF,17.75,5.3,3.13,2.13,26.18,15.61,14.58,5.87,1.21,0.58,1.71
CHA,SG,15.72,3.83,3.69,2.54,23.24,12.14,12.03,4.92,1.44,0.41,1.61
CHI,C,18.6,11.95,3.32,1.86,33.87,20.89,15.26,10.31,0.97,2.34,2.03
CHI,PF,18.8,7.08,2.62,1.38,28.51,20.92,17.75,7.58,1.15,0.81,1.16
CHI,PG,17.07,4.62,6.56,1.94,28.26,18.23,20.0,8.46,1.18,0.31,2.19
CHI,SF,15.0,6.13,3.43,1.87,24.56,16.97,15.12,7.5,1.35,0.63,2.2
CHI,SG,13.86,3.8,3.15,2.01,20.81,11.55,11.16,4.45,1.42,0.51,1.21
CLE,C,15.33,10.11,2.96,0.99,28.4,17.15,12.12,8.88,1.4,1.39,2.82
CLE,PF,19.24,9.44,3.13,2.54,31.81,16.84,13.12,8.03,1.25,0.55,3.36
CLE,PG,17.2,3.85,7.13,1.85,28.18,15.27,17.63,8.03,1.12,0.17,2.51
CLE,SF,19.51,6.64,2.97,2.3,29.13,18.43,16.54,6.92,1.58,0.69,2.16
CLE,SG,13.17,3.84,3.24,1.54,20.24,10.56,10.52,3.88,1.07,0.56,1.55
DAL,C,17.57,11.29,2.77,0.73,31.63,18.78,13.59,8.81,1.07,1.89,2.32
DAL,PF,16.61,7.25,2.2,1.66,26.06,18.96,15.48,7.26,1.89,1.28,1.92
DAL,PG,16.36,6.06,6.84,1.83,29.26,16.23,17.04,9.12,2.03,0.18,2.86
DAL,SF,13.74,6.63,2.99,1.71,23.36,15.32,13.22,6.59,1.36,0.45,1.61
DAL,SG,14.0,5.9,2.9,1.88,22.8,12.91,11.55,5.5,2.01,0.55,1.71
DEN,C,14.98,10.39,2.64,0.94,28.02,15.17,10.94,7.54,1.07,0.92,1.73
DEN,PF,15.32,5.98,3.26,1.39,24.56,16.22,14.62,6.72,1.02,0.97,1.8
DEN,PG,14.98,4.92,5.24,2.02,25.14,12.89,13.67,6.19,1.58,0.09,2.18
DEN,SF,16.54,5.74,3.35,2.1,25.63,17.44,15.88,6.84,1.83,0.92,1.8
DEN,SG,14.45,4.27,3.8,2.0,22.52,12.09,11.93,4.67,0.93,0.39,1.46
DET,C,14.46,10.4,2.46,1.34,27.31,15.39,11.06,7.72,1.1,1.28,2.1
DET,PF,16.75,7.84,2.23,2.35,26.82,15.18,11.87,6.32,0.99,1.2,2.35
DET,PG,17.95,3.82,5.09,2.17,26.86,16.07,16.96,6.96,1.94,0.32,3.89
DET,SF,17.34,4.5,2.27,2.21,24.11,16.66,15.41,4.76,1.02,0.27,2.17
DET,SG,12.14,3.75,3.88,1.97,19.77,10.38,10.13,4.56,1.09,0.34,1.98
GSW,C,16.78,11.21,2.96,1.0,30.94,17.69,13.0,8.64,0.37,2.34,1.71
GSW,PF,19.25,7.18,2.23,2.15,28.66,15.18,12.35,6.0,0.98,0.39,2.41
GSW,PG,18.52,4.87,6.82,2.21,30.21,18.91,20.5,9.22,1.56,0.41,3.07
GSW,SF,14.53,5.2,3.18,1.73,22.91,14.76,13.26,6.44,1.78,0.49,2.49
GSW,SG,13.43,5.11,3.83,1.64,22.37,11.7,11.07,4.68,1.74,0.17,1.97
HOU,C,15.65,9.36,2.49,1.11,27.5,14.1,10.55,6.52,0.73,1.51,1.27
HOU,PF,16.12,7.12,2.42,1.7,25.66,14.83,12.69,5.24,0.93,0.32,1.65
