Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG
Dyson Daniels,PTS,12.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,S Tier,3.71,-3.71,0.965489,8.788661527811414,0.0
Ivica Zubac,PRA,31.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,4.29,-4.29,0.957973,27.21448942680595,15.5
Dyson Daniels,PRA,23.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,S Tier,5.11,-5.11,0.91956735,18.38782470574791,0.0
Jeremy Sochan,PRA,16.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,2.13,-2.13,0.89446753,14.373709262980132,55.9
Ivica Zubac,PTS,17.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.39,-2.39,0.8676431,15.111544392920521,15.5
James Harden,PTS,26.5,2025-11-20,LAC @ ORL,LAC,ORL,Over,S Tier,2.87,2.87,0.8659441,29.365217828462214,15.5
Joel Embiid,PRA,27.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,1.89,1.89,0.86582124,29.39138179332567,0.0
Harrison Barnes,PRA,20.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,3.03,-3.03,0.8655914,17.470693859651586,55.9
Domantas Sabonis,PTS,18.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,S Tier,2.11,-2.11,0.8609784,16.393898103662025,22.7
Malik Monk,PRA,18.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,S Tier,1.5,-1.5,0.8387284,16.99643618775038,22.7
John Collins,PRA,20.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.96,-2.96,0.83776337,17.53923431676934,15.5
Gary Trent Jr.,PRA,17.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,2.16,-2.16,0.833534,15.338836556198377,37.0
James Harden,AST,8.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.59,-2.59,0.81749296,5.906242387867074,15.5
Tyrese Maxey,PTS,28.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,1.55,1.55,0.8164395,30.05236612406227,26.5
Goga Bitadze,PTS,4.5,2025-11-20,ORL vs LAC,ORL,LAC,Over,S Tier,2.48,2.48,0.8095651,6.9846791358876725,27.8
Keldon Johnson,PTS,13.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,3.33,-3.33,0.80013037,10.17131156922385,55.9
Jaylen Wells,PTS,11.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,1.66,-1.66,0.7934076,9.8434586540292,57.2
Vince Williams Jr.,PRA,24.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,4.74,-4.74,0.7933733,19.762160084182337,57.2
