PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1630639,A.J. Lawson,A.J.,1610612761,TOR,24.0,10,7,3,0.7,208.185,38,93,0.409,17,52,0.327,20,33,0.606,12,26,38,19,8,7,4,6,21,21,113,33,212.1,1,0,209.0,454,378,76,124,399,356,343,410,282,277,326,286,252,446,325,390,387,375,405,377,336,237,182,305,347,181,374,151,30,369,1
1631260,AJ Green,AJ,1610612749,MIL,25.0,35,24,11,0.686,854.7266666666667,101,237,0.426,86,206,0.417,11,14,0.786,11,87,98,60,17,25,2,1,76,23,299,173,570.6,0,0,597.0,109,50,283,134,142,212,195,362,45,52,83,356,361,246,343,191,227,195,308,157,406,69,476,292,190,50,218,231,30,200,1
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,14,3,11,0.214,291.3233333333333,36,93,0.387,11,38,0.289,22,24,0.917,3,26,29,30,16,3,2,8,26,14,105,-97,183.8,0,0,185.0,409,476,283,519,352,361,343,461,331,319,388,273,304,47,461,390,418,316,320,452,406,276,213,363,356,515,390,231,30,381,2
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,21,16,5,0.762,598.145,99,190,0.521,39,75,0.52,57,72,0.792,24,69,93,74,19,6,5,14,33,49,294,184,530.6,0,0,522.0,329,203,126,73,230,215,235,107,181,239,15,118,122,240,201,254,242,147,297,399,315,397,256,173,193,44,236,231,30,231,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,33,24,9,0.727,442.16,63,154,0.409,38,103,0.369,22,27,0.815,8,41,49,41,15,10,4,3,36,27,186,42,333.3,0,0,342.0,152,50,224,104,286,283,270,407,184,192,194,273,285,196,387,327,353,268,332,330,336,150,271,270,279,160,307,231,30,297,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,23,19,4,0.826,614.105,107,208,0.514,47,111,0.423,48,51,0.941,19,85,104,26,21,14,8,8,64,48,309,176,517.8,0,0,530.0,302,140,104,54,225,198,221,120,145,175,75,142,185,35,243,202,217,334,279,282,235,276,426,175,179,49,243,231,30,228,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,37,31,6,0.838,869.6566666666666,175,366,0.478,60,171,0.351,35,42,0.833,46,99,145,69,37,32,9,24,43,29,445,248,808.5,1,0,801.0,68,5,160,45,137,93,95,200,103,91,263,197,214,156,82,149,129,160,173,90,213,492,306,260,106,25,124,151,30,117,1
1641745,Adam Flagler,Adam,1610612760,OKC,25.0,21,21,0,1.0,110.52166666666666,13,56,0.232,7,42,0.167,0,0,0.0,5,9,14,8,3,5,2,2,8,0,33,-26,79.8,0,0,76.0,329,99,1,1,455,458,403,535,374,299,462,510,513,510,430,468,464,450,478,414,406,111,98,528,459,398,460,231,30,458,1
1641766,Adama Sanogo,Adama,1610612741,CHI,23.0,3,2,1,0.667,21.016666666666666,4,7,0.571,0,0,0.0,0,0,0.0,5,1,6,1,1,0,0,1,1,1,8,-5,15.7,0,0,15.0,519,497,15,143,525,510,521,56,479,515,479,510,513,510,430,532,505,521,510,518,493,69,21,498,518,314,523,231,30,521,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,31,6,25,0.194,507.5466666666667,80,118,0.678,0,0,0.0,35,49,0.714,61,88,149,13,36,14,42,10,71,48,195,-63,525.3,2,0,469.0,182,402,543,532,266,258,313,19,479,515,479,197,188,343,48,185,125,415,181,282,27,326,453,175,270,474,240,113,30,258,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,17,15,2,0.882,314.93666666666667,50,93,0.538,12,29,0.414,18,21,0.857,11,35,46,33,13,15,2,4,29,34,130,90,272.7,1,0,255.0,384,223,52,22,344,322,343,85,317,353,90,296,321,120,343,352,363,298,356,269,406,183,232,231,328,92,336,151,30,339,1
201143,Al Horford,Al,1610612738,BOS,39.0,31,22,9,0.71,886.1866666666666,107,243,0.44,65,167,0.389,15,17,0.882,31,161,192,74,29,16,27,3,50,19,294,171,735.4,4,0,711.0,182,82,224,118,131,198,188,327,89,98,138,322,345,76,146,61,77,147,220,256,56,150,341,325,193,51,150,74,30,152,1
202692,Alec Burks,Alec,1610612748,MIA,33.0,24,13,11,0.542,395.765,57,132,0.432,43,102,0.422,14,17,0.824,4,44,48,26,14,6,3,6,16,12,171,43,280.6,0,0,306.0,290,255,283,286,302,298,294,348,164,194,76,332,345,174,445,315,358,334,342,399,365,237,153,377,292,158,335,231,30,319,1
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,28,23,5,0.821,500.07,76,159,0.478,32,85,0.376,20,24,0.833,20,54,74,70,20,46,14,6,51,28,204,144,557.8,0,0,500.0,239,66,126,57,268,266,263,201,212,222,171,286,304,156,237,292,288,156,290,28,142,237,347,265,264,69,229,231,30,244,1
1642505,Alex Ducas,Alex,1610612760,OKC,24.0,11,11,0,1.0,71.41166666666666,9,21,0.429,8,15,0.533,0,0,0.0,6,12,18,2,3,4,0,1,4,0,26,-31,59.6,0,0,62.0,447,296,1,1,474,472,474,357,365,403,13,510,513,510,420,456,451,504,478,434,493,69,59,528,470,411,468,231,30,467,1
203458,Alex Len,Alex,1610612747,LAL,32.0,27,13,14,0.481,211.51333333333332,21,37,0.568,2,5,0.4,7,15,0.467,25,35,60,22,9,6,13,4,31,15,51,-41,204.0,0,0,173.0,259,255,373,367,395,417,446,59,436,464,112,398,354,494,190,352,318,358,396,399,154,183,242,357,434,440,383,231,30,392,2
1642024,Alex Reese,Alex,1610612755,PHI,26.0,4,2,2,0.5,56.47,6,13,0.462,2,9,0.222,1,2,0.5,4,15,19,0,2,5,3,0,3,2,15,31,59.8,0,0,52.0,506,497,52,319,488,490,500,252,436,439,440,494,481,472,445,442,446,537,490,414,365,1,47,484,496,186,467,231,30,473,2
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,31,6,25,0.194,841.9683333333334,149,377,0.395,52,155,0.335,53,88,0.602,47,149,196,69,52,19,51,14,74,65,403,-235,899.7,4,0,860.0,182,402,543,532,147,122,89,446,127,117,300,129,94,448,80,70,72,160,98,218,12,397,468,114,123,554,105,74,30,108,1
1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,40,29,11,0.725,1239.235,293,577,0.508,8,42,0.19,162,225,0.72,136,281,417,186,111,43,38,44,99,207,756,229,1667.4,24,2,1529.0,14,13,283,108,28,17,25,137,365,299,456,16,10,341,4,11,8,36,9,38,32,556,540,6,27,28,6,8,7,10,1
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,33,22,11,0.667,1064.4266666666667,174,322,0.54,11,40,0.275,63,103,0.612,93,180,273,134,70,39,42,22,91,74,422,115,1123.6,10,1,1002.0,152,82,283,143,75,95,117,81,331,304,404,106,80,442,17,35,22,69,50,58,27,479,526,98,112,79,65,29,12,80,1
1629599,Amir Coffey,Amir,1610612746,LAC,28.0,35,25,10,0.714,865.035,130,258,0.504,61,130,0.469,58,66,0.879,17,64,81,31,24,16,6,8,59,51,379,56,564.7,0,0,596.0,109,41,259,114,138,151,170,142,100,150,29,114,135,83,266,263,274,310,253,256,280,276,399,165,138,139,223,231,30,201,1
203083,Andre Drummond,Andre,1610612755,PHI,31.0,18,7,11,0.389,342.9716666666667,53,104,0.51,1,7,0.143,37,53,0.698,56,87,143,12,24,14,4,9,47,41,144,-98,363.6,4,0,336.0,367,378,283,423,327,314,329,131,454,450,466,187,175,364,58,191,136,420,253,282,336,303,325,200,316,516,293,74,30,300,1
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,23.0,34,22,12,0.647,483.43833333333333,43,100,0.43,11,35,0.314,4,9,0.444,34,56,90,43,32,15,3,4,60,12,101,62,295.5,0,0,281.0,131,82,322,180,273,347,333,354,331,330,348,442,408,500,123,286,252,255,204,269,365,183,406,377,362,127,328,231,30,330,1
1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,31,23,8,0.742,927.935,114,255,0.447,24,84,0.286,49,64,0.766,17,87,104,141,59,36,5,8,74,65,301,149,701.3,0,0,652.0,182,66,200,93,118,183,175,303,248,227,391,141,144,276,266,191,217,65,83,70,315,276,468,114,185,67,167,231,30,179,1
203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,35,16,19,0.457,1097.53,244,515,0.474,75,204,0.368,102,138,0.739,44,121,165,98,58,35,34,38,55,96,665,-28,1159.0,2,0,1141.0,109,203,486,378,62,44,40,214,61,56,202,51,45,323,89,109,103,101,86,74,36,548,375,61,43,405,57,113,30,54,2
1629014,Anfernee Simons,Anfernee,1610612757,POR,26.0,34,16,18,0.471,1052.615,205,494,0.415,101,274,0.369,94,104,0.904,10,81,91,172,65,23,3,32,61,64,605,-62,985.2,2,0,1021.0,131,203,471,371,78,69,49,391,22,18,195,59,78,59,358,219,247,45,63,184,365,535,412,120,59,473,88,113,30,76,1
1641710,Anthony Black,Anthony,1610612753,ORL,21.0,39,21,18,0.538,923.4016666666666,133,308,0.432,36,100,0.36,65,84,0.774,19,92,111,114,67,39,24,30,83,84,367,34,793.2,0,0,754.0,30,99,471,290,122,144,130,348,189,197,240,101,102,265,243,170,194,86,56,58,70,530,508,84,147,177,131,231,30,136,1
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,25,17,8,0.68,853.55,242,439,0.551,24,61,0.393,146,189,0.772,69,230,299,104,47,31,66,22,52,136,654,83,1412.8,18,1,1275.0,282,180,200,140,144,46,66,72,248,258,132,24,20,268,40,17,19,96,117,102,5,479,358,28,46,98,24,14,12,40,2
1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,39,24,15,0.615,1394.0933333333332,331,786,0.421,143,398,0.359,213,254,0.839,33,180,213,173,116,47,25,28,63,178,1018,161,1633.1,2,0,1691.0,30,50,407,205,4,5,2,375,3,1,242,5,6,151,138,35,62,44,7,24,64,523,419,10,4,59,7,113,30,5,1
